covariate,smd_pre,abs_smd_pre,smd_post,abs_smd_post
age_max,0.1221577728998653,0.1221577728998653,-0.0203407605033401,0.0203407605033401
age_mean,0.1221577728998653,0.1221577728998653,-0.0203407605033401,0.0203407605033401
age_median,0.1221577728998653,0.1221577728998653,-0.0203407605033401,0.0203407605033401
age_min,0.1221577728998653,0.1221577728998653,-0.0203407605033401,0.0203407605033401
age_std,0.0,0.0,0.0,0.0
any_vasopressor_delta,-0.1174892257176377,0.1174892257176377,0.0382299467622316,0.0382299467622316
any_vasopressor_max,0.4386133993984221,0.4386133993984221,0.1567204382146082,0.1567204382146082
any_vasopressor_mean,0.2891823607991748,0.2891823607991748,0.0795429107212495,0.0795429107212495
any_vasopressor_median,0.0708218553457359,0.0708218553457359,0.0199930036728575,0.0199930036728575
any_vasopressor_min,0.054884713108771,0.054884713108771,0.0,0.0
any_vasopressor_post_mean,0.4708585224989188,0.4708585224989188,0.2002451655839824,0.2002451655839824
any_vasopressor_pre_mean,0.2891823607991748,0.2891823607991748,0.0795429107212495,0.0795429107212495
any_vasopressor_slope,0.0759779363890883,0.0759779363890883,0.0292041986156648,0.0292041986156648
any_vasopressor_std,0.3891403494094559,0.3891403494094559,0.1111738188789206,0.1111738188789206
apsiii_max,0.5038629831468355,0.5038629831468355,0.1754458490656099,0.1754458490656099
apsiii_mean,0.5038629831468355,0.5038629831468355,0.1754458490656099,0.1754458490656099
apsiii_median,0.5038629831468355,0.5038629831468355,0.1754458490656099,0.1754458490656099
apsiii_min,0.5038629831468355,0.5038629831468355,0.1754458490656099,0.1754458490656099
apsiii_std,0.0,0.0,0.0,0.0
bilirubin_direct_delta,0.0,0.0,0.0,0.0
bilirubin_direct_max,0.0,0.0,0.0,0.0
bilirubin_direct_mean,0.0,0.0,0.0,0.0
bilirubin_direct_median,0.0,0.0,0.0,0.0
bilirubin_direct_min,0.0,0.0,0.0,0.0
bilirubin_direct_post_mean,0.0,0.0,0.0,0.0
bilirubin_direct_pre_mean,0.0,0.0,0.0,0.0
bilirubin_direct_slope,0.0,0.0,0.0,0.0
