level,group,k,cluster,outcome,n_pairs,n_treated,n_control,treated_mean,control_mean,effect,ci95_low,ci95_high
all_matched,all,,,mortality_anytime,10009,10009,3158,0.3845539014886602,0.4456988710160855,-0.06114496952742532,-0.07529473473873514,-0.04695773803576781
all_matched,all,,,vm_time_hours,8234,8234,2436,116.22946724961541,59.262794510565946,56.966672739049464,53.62992854829569,60.65290988583919
all_matched,all,,,ventilation_hours,10009,10009,3158,64.28073900156525,32.8844290138875,31.396309987677757,28.956498526326303,33.92001302993972
all_matched,all,,,rrt_on,10009,10009,3158,0.10350684384054351,0.06454191227894894,0.038964931561594564,0.031519132780497554,0.04681037066640024
all_matched,all,,,any_vasopressor,10009,10009,3158,0.5863722649615346,0.5814766709961036,0.004895593965431112,-0.008792087121590568,0.01773653711659506
all_matched,all,,,nee_mcgkgmin_max,10009,10009,3158,0.2652652612648616,0.2003027275452093,0.06496253371965231,0.030750949145768813,0.11052000699370565
all_matched,all,,,icu_los_hours,10009,10009,3158,732.8292453458554,421.44490791620865,311.3843374296466,291.9272425650248,330.91903744962866
cluster,benefit_apparent,2.0,0.0,mortality_anytime,7085,7085,2968,0.3570924488355681,0.4228652081863091,-0.065772759350741,-0.08060691601976006,-0.04911785462244178
cluster,benefit_apparent,2.0,0.0,vm_time_hours,5629,5629,2263,81.90016284716053,57.73370047965891,24.166462367501627,20.573430893586785,27.97442618582341
cluster,benefit_apparent,2.0,0.0,ventilation_hours,7085,7085,2968,46.20611620795107,32.1116325570454,14.094483650905667,12.144796518466244,16.483784991766644
cluster,benefit_apparent,2.0,0.0,rrt_on,7085,7085,2968,0.07904022582921666,0.06365561044460127,0.015384615384615385,0.0074805928016937195,0.0239273112208892
cluster,benefit_apparent,2.0,0.0,any_vasopressor,7085,7085,2968,0.547212420606916,0.5465067043048695,0.0007057163020465773,-0.013913196894848271,0.016654904728299225
cluster,benefit_apparent,2.0,0.0,nee_mcgkgmin_max,7085,7085,2968,0.2036527875793931,0.1832223006351447,0.02043048694424841,-0.021485215243472126,0.07431721947776992
cluster,benefit_apparent,2.0,0.0,icu_los_hours,7085,7085,2968,532.4073747353564,412.87355916254995,119.5338155728064,101.76070483415667,137.65633086332627
cluster,benefit_apparent,2.0,1.0,mortality_anytime,2924,2924,667,0.45109439124487005,0.5010259917920656,-0.04993160054719562,-0.07662448700410396,-0.024281805745554035
cluster,benefit_apparent,2.0,1.0,vm_time_hours,2605,2605,565,190.40975687779908,62.56692898272553,127.84282789507357,118.74474456174023,135.63228358925144
cluster,benefit_apparent,2.0,1.0,ventilation_hours,2924,2924,667,108.07646488828087,34.75695394436844,73.31951094391245,67.14721200980391,78.8875598495212
cluster,benefit_apparent,2.0,1.0,rrt_on,2924,2924,667,0.16279069767441862,0.06668946648426813,0.09610123119015047,0.0788218194254446,0.11167065663474691
cluster,benefit_apparent,2.0,1.0,any_vasopressor,2924,2924,667,0.6812585499316005,0.6662106703146374,0.015047879616963064,-0.009233926128590971,0.04089432284541721
cluster,benefit_apparent,2.0,1.0,nee_mcgkgmin_max,2924,2924,667,0.4145554035567715,0.24168946648426815,0.1728659370725034,0.09978411422708619,0.2678413987688098
cluster,benefit_apparent,2.0,1.0,icu_los_hours,2924,2924,667,1218.4615823073416,442.2137197902416,776.2478625170999,728.1696627051983,817.4644572218422
scan_group,benefit_apparent,2.0,,mortality_anytime,10009,10009,3158,0.3845539014886602,0.4456988710160855,-0.06114496952742532,-0.07529473473873514,-0.04695773803576781
scan_group,benefit_apparent,2.0,,vm_time_hours,8234,8234,2436,116.22946724961541,59.262794510565946,56.966672739049464,53.62992854829569,60.65290988583919
scan_group,benefit_apparent,2.0,,ventilation_hours,10009,10009,3158,64.28073900156525,32.8844290138875,31.396309987677757,28.956498526326303,33.92001302993972
scan_group,benefit_apparent,2.0,,rrt_on,10009,10009,3158,0.10350684384054351,0.06454191227894894,0.038964931561594564,0.031519132780497554,0.04681037066640024
scan_group,benefit_apparent,2.0,,any_vasopressor,10009,10009,3158,0.5863722649615346,0.5814766709961036,0.004895593965431112,-0.008792087121590568,0.01773653711659506
scan_group,benefit_apparent,2.0,,nee_mcgkgmin_max,10009,10009,3158,0.2652652612648616,0.2003027275452093,0.06496253371965231,0.030750949145768813,0.11052000699370565
scan_group,benefit_apparent,2.0,,icu_los_hours,10009,10009,3158,732.8292453458554,421.44490791620865,311.3843374296466,291.9272425650248,330.91903744962866
article_oriented_group,macro_benefit_relative,2.0,,mortality_anytime,7085,7085,2968,0.3570924488355681,0.4228652081863091,-0.065772759350741,-0.08060691601976006,-0.04911785462244178
article_oriented_group,macro_benefit_relative,2.0,,vm_time_hours,5629,5629,2263,81.90016284716053,57.73370047965891,24.166462367501627,20.573430893586785,27.97442618582341
article_oriented_group,macro_benefit_relative,2.0,,ventilation_hours,7085,7085,2968,46.20611620795107,32.1116325570454,14.094483650905667,12.144796518466244,16.483784991766644
article_oriented_group,macro_benefit_relative,2.0,,rrt_on,7085,7085,2968,0.07904022582921666,0.06365561044460127,0.015384615384615385,0.0074805928016937195,0.0239273112208892
article_oriented_group,macro_benefit_relative,2.0,,any_vasopressor,7085,7085,2968,0.547212420606916,0.5465067043048695,0.0007057163020465773,-0.013913196894848271,0.016654904728299225
article_oriented_group,macro_benefit_relative,2.0,,nee_mcgkgmin_max,7085,7085,2968,0.2036527875793931,0.1832223006351447,0.02043048694424841,-0.021485215243472126,0.07431721947776992
article_oriented_group,macro_benefit_relative,2.0,,icu_los_hours,7085,7085,2968,532.4073747353564,412.87355916254995,119.5338155728064,101.76070483415667,137.65633086332627
article_oriented_group,macro_risk_high_support,2.0,,mortality_anytime,2924,2924,667,0.45109439124487005,0.5010259917920656,-0.04993160054719562,-0.07662448700410396,-0.024281805745554035
article_oriented_group,macro_risk_high_support,2.0,,vm_time_hours,2605,2605,565,190.40975687779908,62.56692898272553,127.84282789507357,118.74474456174023,135.63228358925144
article_oriented_group,macro_risk_high_support,2.0,,ventilation_hours,2924,2924,667,108.07646488828087,34.75695394436844,73.31951094391245,67.14721200980391,78.8875598495212
article_oriented_group,macro_risk_high_support,2.0,,rrt_on,2924,2924,667,0.16279069767441862,0.06668946648426813,0.09610123119015047,0.0788218194254446,0.11167065663474691
article_oriented_group,macro_risk_high_support,2.0,,any_vasopressor,2924,2924,667,0.6812585499316005,0.6662106703146374,0.015047879616963064,-0.009233926128590971,0.04089432284541721
article_oriented_group,macro_risk_high_support,2.0,,nee_mcgkgmin_max,2924,2924,667,0.4145554035567715,0.24168946648426815,0.1728659370725034,0.09978411422708619,0.2678413987688098
article_oriented_group,macro_risk_high_support,2.0,,icu_los_hours,2924,2924,667,1218.4615823073416,442.2137197902416,776.2478625170999,728.1696627051983,817.4644572218422
cluster,benefit_apparent,3.0,0.0,mortality_anytime,121,121,110,0.35537190082644626,0.47107438016528924,-0.11570247933884298,-0.23574380165289255,-0.008264462809917356
cluster,benefit_apparent,3.0,0.0,vm_time_hours,96,96,86,57.668923611111104,49.89895833333333,7.769965277777776,-10.451080729166668,28.719700520833324
