k,seed,n_samples,inertia,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,max_cluster_size
2,13,400,4407.570790583819,0.10527873070550982,2.9779206778173424,35.43603330916707,135,265
2,42,400,4407.570790583819,0.10527873070550982,2.9779206778173424,35.43603330916707,135,265
2,101,400,4407.570790583819,0.10527873070550982,2.9779206778173424,35.43603330916707,135,265
3,13,400,4127.801557246321,0.10507994884097606,2.3600719217323802,32.325049796148164,7,244
3,42,400,4152.107530236645,0.09684964070509838,2.529103328213055,30.97382577678471,10,243
3,101,400,4153.177501989758,0.09986318085601528,2.8826886848842825,30.914707063090916,100,168
4,13,400,3929.4153728365945,0.0845330335418753,2.6496031124134096,29.24536092060233,10,132
4,42,400,3867.6291318466824,0.10091406941015321,2.347816136370232,31.82129164940748,7,165
4,101,400,3868.408910595531,0.1016711234228827,2.331923452349196,31.78826919371845,6,165
5,13,400,3661.224712671713,0.09759061681623393,2.040119014440257,30.71487506201358,3,164
5,42,400,3716.549686552507,0.09512913287943053,2.202861760593123,28.787646466845775,7,161
5,101,400,3682.561090382746,0.09602666887719032,2.2472246158784537,29.964768979089733,6,125
6,13,400,3559.874816113485,0.10150214683161296,2.3776837017074834,27.450927220229,6,105
6,42,400,3522.656578711865,0.09581111245580494,2.1478393845265624,28.57350960799917,6,120
6,101,400,3542.8991707249616,0.08807417538158457,2.068545050839303,27.960023859951704,1,124
7,13,400,3420.37631549271,0.09010154747393251,2.1111634786911,26.419710289161603,6,96
7,42,400,3348.9691944418155,0.09739742911384021,1.9018555653473073,28.379633327711783,1,112
7,101,400,3376.332034402399,0.08605991798286634,1.9993393703033306,27.61880371849974,1,81
8,13,400,3243.4233046778722,0.09616446213459967,2.1730588920889478,26.875398845509764,6,89
8,42,400,3240.940290068826,0.08495043285834879,1.932196491809801,26.938893019313127,1,82
8,101,400,3268.231135727148,0.0936028187457624,2.0399663148622285,26.2463249497789,1,106
