k,cluster,n_pairs,primary_outcome,treated_mean,control_mean,effect,scan_group,support_harm_count,article_oriented_label
2,0,7085,mortality_anytime,0.3570924488355681,0.4228652081863091,-0.065772759350741,benefit_apparent,5,macro_benefit_relative
2,1,2924,mortality_anytime,0.45109439124487,0.5010259917920656,-0.0499316005471955,benefit_apparent,5,macro_risk_high_support
3,0,121,mortality_anytime,0.3553719008264462,0.4710743801652892,-0.1157024793388429,benefit_apparent,3,benefit_apparent
3,1,2936,mortality_anytime,0.4502724795640327,0.5006811989100818,-0.050408719346049,benefit_apparent,5,benefit_apparent
3,2,6952,mortality_anytime,0.357307249712313,0.4220368239355581,-0.0647295742232451,benefit_apparent,5,benefit_apparent
5,0,1813,mortality_anytime,0.4605626034197462,0.3910645339216768,0.0694980694980694,harm_apparent,4,harm_apparent
5,1,2242,mortality_anytime,0.467885816235504,0.5218554861730598,-0.0539696699375557,benefit_apparent,5,benefit_apparent
5,2,1886,mortality_anytime,0.3886532343584305,0.3992576882290562,-0.0106044538706256,neutral_apparent,5,neutral_apparent
5,3,121,mortality_anytime,0.3553719008264462,0.4710743801652892,-0.1157024793388429,benefit_apparent,3,benefit_apparent
5,4,3947,mortality_anytime,0.3012414492019255,0.4489485685330631,-0.1477071193311375,benefit_apparent,5,benefit_apparent
6,0,1773,mortality_anytime,0.4585448392554991,0.3886068809926677,0.0699379582628313,harm_apparent,3,harm_apparent
6,1,1063,mortality_anytime,0.5663217309501412,0.5446848541862653,0.0216368767638758,harm_apparent,5,harm_apparent
6,2,1833,mortality_anytime,0.3933442444080742,0.3987997817785051,-0.0054555373704309,neutral_apparent,5,neutral_apparent
6,3,121,mortality_anytime,0.3553719008264462,0.4710743801652892,-0.1157024793388429,benefit_apparent,3,benefit_apparent
6,4,1332,mortality_anytime,0.3753753753753753,0.4932432432432432,-0.1178678678678679,benefit_apparent,3,benefit_apparent
6,5,3887,mortality_anytime,0.3010033444816054,0.4497041420118343,-0.1487007975302289,benefit_apparent,5,benefit_apparent
