feature,missing_rate,selected
heart_rate_ema_12,0.0,True
dbp_cummin,0.0,True
dbp_diff,0.0,True
dbp_n_meas,0.0,True
sbp_ema_12,0.0,True
sbp_roll_std_12,0.0,True
sbp_roll_mean_12,0.0,True
sbp_cumean,0.0,True
sbp_cummax,0.0,True
sbp_cummin,0.0,True
sbp_diff,0.0,True
sbp_n_meas,0.0,True
dbp_cummax,0.0,True
heart_rate_roll_std_12,0.0,True
heart_rate_roll_mean_12,0.0,True
heart_rate_cumean,0.0,True
heart_rate_cummax,0.0,True
heart_rate_cummin,0.0,True
heart_rate_diff,0.0,True
heart_rate_n_meas,0.0,True
ck_total_ema_12,0.0,True
ck_total_roll_std_12,0.0,True
ck_total_roll_mean_12,0.0,True
ck_total_cumean,0.0,True
mbp_ema_12,0.0,True
temperature_cummin,0.0,True
temperature_diff,0.0,True
temperature_n_meas,0.0,True
resp_rate_ema_12,0.0,True
resp_rate_roll_std_12,0.0,True
resp_rate_roll_mean_12,0.0,True
resp_rate_cumean,0.0,True
resp_rate_cummax,0.0,True
resp_rate_cummin,0.0,True
resp_rate_diff,0.0,True
resp_rate_n_meas,0.0,True
ck_total_cummax,0.0,True
mbp_roll_std_12,0.0,True
mbp_roll_mean_12,0.0,True
mbp_cumean,0.0,True
mbp_cummax,0.0,True
mbp_cummin,0.0,True
mbp_diff,0.0,True
mbp_n_meas,0.0,True
dbp_ema_12,0.0,True
dbp_roll_std_12,0.0,True
dbp_roll_mean_12,0.0,True
dbp_cumean,0.0,True
bilirubin_total_n_meas,0.0,True
alkaline_phosphatase_cummax,0.0,True
alkaline_phosphatase_cummin,0.0,True
alkaline_phosphatase_diff,0.0,True
alkaline_phosphatase_n_meas,0.0,True
bilirubin_total_ema_12,0.0,True
bilirubin_total_roll_std_12,0.0,True
bilirubin_total_roll_mean_12,0.0,True
bilirubin_total_cumean,0.0,True
bilirubin_total_cummax,0.0,True
bilirubin_total_cummin,0.0,True
bilirubin_total_diff,0.0,True
alkaline_phosphatase_cumean,0.0,True
ast_ema_12,0.0,True
ast_roll_std_12,0.0,True
ast_roll_mean_12,0.0,True
ast_cumean,0.0,True
ast_cummax,0.0,True
ast_cummin,0.0,True
ast_diff,0.0,True
ast_n_meas,0.0,True
alt_ema_12,0.0,True
alt_roll_std_12,0.0,True
alt_roll_mean_12,0.0,True
ldh_ema_12,0.0,True
ck_total_cummin,0.0,True
ck_total_diff,0.0,True
ck_total_n_meas,0.0,True
lymphocytes_abs_ema_12,0.0,True
lymphocytes_abs_roll_std_12,0.0,True
lymphocytes_abs_roll_mean_12,0.0,True
lymphocytes_abs_cumean,0.0,True
lymphocytes_abs_cummax,0.0,True
lymphocytes_abs_cummin,0.0,True
lymphocytes_abs_diff,0.0,True
lymphocytes_abs_n_meas,0.0,True
temperature_cummax,0.0,True
ldh_roll_std_12,0.0,True
ldh_roll_mean_12,0.0,True
ldh_cumean,0.0,True
magnesium,0.0,True
ldh_cummin,0.0,True
ldh_diff,0.0,True
ldh_n_meas,0.0,True
alkaline_phosphatase_ema_12,0.0,True
alkaline_phosphatase_roll_std_12,0.0,True
alkaline_phosphatase_roll_mean_12,0.0,True
