covariate,smd_pre,abs_smd_pre,smd_post,abs_smd_post
age_max,0.12215777289986529,0.12215777289986529,0.008976625565273347,0.008976625565273347
age_mean,0.12215777289986529,0.12215777289986529,0.008976625565273347,0.008976625565273347
age_median,0.12215777289986529,0.12215777289986529,0.008976625565273347,0.008976625565273347
age_min,0.12215777289986529,0.12215777289986529,0.008976625565273347,0.008976625565273347
age_std,0.0,0.0,0.0,0.0
any_vasopressor_delta,-0.11748922571763773,0.11748922571763773,-0.022360504420231214,0.022360504420231214
any_vasopressor_max,0.4386133993984221,0.4386133993984221,-0.011344399339842538,0.011344399339842538
any_vasopressor_mean,0.28918236079917475,0.28918236079917475,-0.005349438262822059,0.005349438262822059
any_vasopressor_median,0.0708218553457359,0.0708218553457359,0.0,0.0
any_vasopressor_min,0.05488471310877101,0.05488471310877101,0.0,0.0
any_vasopressor_post_mean,0.47085852249891863,0.47085852249891863,-0.048189232869717186,0.048189232869717186
any_vasopressor_pre_mean,0.28918236079917475,0.28918236079917475,-0.005349438262822059,0.005349438262822059
any_vasopressor_slope,0.07597793638908838,0.07597793638908838,0.0017820991191599695,0.0017820991191599695
any_vasopressor_std,0.38914034940945574,0.38914034940945574,-0.006015645524183987,0.006015645524183987
apsiii_max,0.5038629831468356,0.5038629831468356,-0.03610815027125085,0.03610815027125085
apsiii_mean,0.5038629831468356,0.5038629831468356,-0.03610815027125085,0.03610815027125085
apsiii_median,0.5038629831468356,0.5038629831468356,-0.03610815027125085,0.03610815027125085
apsiii_min,0.5038629831468356,0.5038629831468356,-0.03610815027125085,0.03610815027125085
apsiii_std,0.0,0.0,0.0,0.0
bilirubin_direct_delta,0.0,0.0,0.0,0.0
bilirubin_direct_max,0.0,0.0,0.0,0.0
bilirubin_direct_mean,0.0,0.0,0.0,0.0
bilirubin_direct_median,0.0,0.0,0.0,0.0
bilirubin_direct_min,0.0,0.0,0.0,0.0
bilirubin_direct_post_mean,0.0,0.0,0.0,0.0
bilirubin_direct_pre_mean,0.0,0.0,0.0,0.0
bilirubin_direct_slope,0.0,0.0,0.0,0.0
bilirubin_direct_std,0.0,0.0,0.0,0.0
bilirubin_indirect_delta,0.0,0.0,0.0,0.0
bilirubin_indirect_max,0.0,0.0,0.0,0.0
bilirubin_indirect_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_median,0.0,0.0,0.0,0.0
bilirubin_indirect_min,0.0,0.0,0.0,0.0
bilirubin_indirect_post_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_pre_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_slope,0.0,0.0,0.0,0.0
bilirubin_indirect_std,0.0,0.0,0.0,0.0
bilirubin_neonatal_delta,0.0,0.0,0.0,0.0
bilirubin_neonatal_max,0.0,0.0,0.0,0.0
bilirubin_neonatal_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_median,0.0,0.0,0.0,0.0
bilirubin_neonatal_min,0.0,0.0,0.0,0.0
bilirubin_neonatal_post_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_pre_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_slope,0.0,0.0,0.0,0.0
bilirubin_neonatal_std,0.0,0.0,0.0,0.0
bilirubin_total_delta,0.18179267121006334,0.18179267121006334,0.0022356473976076815,0.0022356473976076815
bilirubin_total_max,0.17076478962536237,0.17076478962536237,-0.013781863626903831,0.013781863626903831
bilirubin_total_mean,0.16451899665594008,0.16451899665594008,-0.012536538322057615,0.012536538322057615
bilirubin_total_median,0.15445613270479572,0.15445613270479572,-0.007833846669026874,0.007833846669026874
bilirubin_total_min,0.11683330274286302,0.11683330274286302,-0.008519613761522007,0.008519613761522007
bilirubin_total_post_mean,0.2318811115514896,0.2318811115514896,-0.00720891254433336,0.00720891254433336
bilirubin_total_pre_mean,0.16451899665594008,0.16451899665594008,-0.012536538322057615,0.012536538322057615
bilirubin_total_slope,0.08126426018081923,0.08126426018081923,-0.0034224213633446024,0.0034224213633446024
bilirubin_total_std,0.12276752265582622,0.12276752265582622,-0.003580106827778724,0.003580106827778724
bmi_max,-0.1293207981142602,0.1293207981142602,0.025504585942328153,0.025504585942328153
bmi_mean,-0.12932079811426067,0.12932079811426067,0.025504585942329187,0.025504585942329187
bmi_median,-0.1293207981142602,0.1293207981142602,0.025504585942328153,0.025504585942328153
bmi_min,-0.1293207981142602,0.1293207981142602,0.025504585942328153,0.025504585942328153
bmi_std,0.0,0.0,0.0,0.0
congestive_heart_failure_max,0.0819019167036046,0.0819019167036046,0.001780878708102936,0.001780878708102936
congestive_heart_failure_mean,0.0819019167036046,0.0819019167036046,0.001780878708102936,0.001780878708102936
congestive_heart_failure_median,0.0819019167036046,0.0819019167036046,0.001780878708102936,0.001780878708102936
congestive_heart_failure_min,0.0819019167036046,0.0819019167036046,0.001780878708102936,0.001780878708102936
congestive_heart_failure_std,0.0,0.0,0.0,0.0
creatinine_delta,0.1345157931173244,0.1345157931173244,-0.008861688400263546,0.008861688400263546
creatinine_max,0.1608932856943018,0.1608932856943018,-0.010114768836783172,0.010114768836783172
creatinine_mean,0.15673335554710166,0.15673335554710166,-0.009594043690230395,0.009594043690230395
creatinine_median,0.12692242979730056,0.12692242979730056,-0.010871954100075716,0.010871954100075716
creatinine_min,0.2262859640813303,0.2262859640813303,-0.01767362863053367,0.01767362863053367
creatinine_post_mean,0.20717865480364545,0.20717865480364545,-0.01268904503216781,0.01268904503216781
creatinine_pre_mean,0.15673335554710166,0.15673335554710166,-0.009594043690230395,0.009594043690230395
creatinine_slope,0.0677138741373883,0.0677138741373883,-0.009878289221084868,0.009878289221084868
creatinine_std,0.04861960225096851,0.04861960225096851,-0.008797309734514005,0.008797309734514005
dbp_delta,-0.2585571226644932,0.2585571226644932,0.034579971993714334,0.034579971993714334
