metric,category,n_pairs,transfused_mean,control_mean,diff_mean,transfused_median,control_median,diff_median,cluster,k,n_transfused,n_control
mortality_anytime,mortality,3393,0.3704686118479222,0.35809018567639256,0.012378426171529622,0.0,0.0,0.0,0,2,3393,3393
vm_time_hours,ventilation,3393,72.48628948281846,54.667857142857144,17.81843233996132,41.0,32.666666666666664,8.333333333333336,0,2,3393,3393
rrt_on,dialysis_rrt,3393,0.06307102858826996,0.042440318302387266,0.020630710285882696,0.0,0.0,0.0,0,2,3393,3393
any_vasopressor,vasopressor,3393,0.46035956380783966,0.44297082228116713,0.017388741526672524,0.0,0.0,0.0,0,2,3393,3393
icu_los_hours,icu_los,3393,471.6880341880342,395.47966401414675,76.20837017388743,278.3333333333333,253.75,24.583333333333314,0,2,3393,3393
ventilation_hours,ventilation,3393,40.25474015129187,29.074516160723057,11.180223990568813,18.083333333333332,14.0,4.083333333333332,0,2,3393,3393
nee_mcgkgmin_max,vasopressor,3393,0.18180666077217802,0.13840554081933393,0.0434011199528441,0.0,0.0,0.0,0,2,3393,3393
sofa_delta,sofa_delta,3393,1.1486898107666503,1.0188853206800357,0.12980449008661465,0.850953206239168,0.7422680412371134,0.1086851650020546,0,2,3393,3393
mortality_anytime,mortality,442,0.38235294117647056,0.4095022624434389,-0.02714932126696834,0.0,0.0,0.0,1,2,442,442
vm_time_hours,ventilation,442,110.48966908797416,54.278940568475456,56.21072851949871,66.01666666666667,34.0,32.016666666666666,1,2,442,442
rrt_on,dialysis_rrt,442,0.09276018099547512,0.07918552036199095,0.01357466063348417,0.0,0.0,0.0,1,2,442,442
any_vasopressor,vasopressor,442,0.5656108597285068,0.5542986425339367,0.011312217194570096,1.0,1.0,0.0,1,2,442,442
icu_los_hours,icu_los,442,736.4300527903468,406.6562971342383,329.77375565610856,466.25,270.0,196.25,1,2,442,442
ventilation_hours,ventilation,442,62.44343891402715,28.71285822021116,33.73058069381599,31.75,12.083333333333332,19.666666666666668,1,2,442,442
nee_mcgkgmin_max,vasopressor,442,0.3249547511312217,0.12475113122171946,0.20020361990950222,0.055,0.04,0.015,1,2,442,442
sofa_delta,sofa_delta,442,0.14098317818995604,1.3601693912476323,-1.2191862130576763,0.0,0.9246066433566436,-0.9246066433566436,1,2,442,442
mortality_anytime,mortality,231,0.42424242424242425,0.4329004329004329,-0.008658008658008642,0.0,0.0,0.0,0,3,231,231
vm_time_hours,ventilation,231,112.63876319758671,57.46836569579288,55.17039750179383,73.0,38.0,35.0,0,3,231,231
rrt_on,dialysis_rrt,231,0.1038961038961039,0.0735930735930736,0.030303030303030304,0.0,0.0,0.0,0,3,231,231
any_vasopressor,vasopressor,231,0.5887445887445888,0.5584415584415584,0.030303030303030387,1.0,1.0,0.0,0,3,231,231
icu_los_hours,icu_los,231,778.0212842712841,440.225468975469,337.7958152958151,503.75,279.16666666666663,224.58333333333337,0,3,231,231
ventilation_hours,ventilation,231,66.19444444444444,31.457792207792206,34.73665223665223,35.83333333333333,13.083333333333332,22.749999999999996,0,3,231,231
nee_mcgkgmin_max,vasopressor,231,0.1456709956709957,0.1376190476190476,0.008051948051948088,0.07,0.05,0.020000000000000004,0,3,231,231
sofa_delta,sofa_delta,231,0.08276928379279727,1.3974314851027456,-1.3146622013099483,-0.07279029462738307,0.9084503018645131,-0.9812405964918962,0,3,231,231
mortality_anytime,mortality,2531,0.3619122876333465,0.35796128012643225,0.003951007506914239,0.0,0.0,0.0,1,3,2531,2531
vm_time_hours,ventilation,2531,70.44923209528287,55.760021338210635,14.689210757072232,40.0,33.0,7.0,1,3,2531,2531
rrt_on,dialysis_rrt,2531,0.05768470960094824,0.03911497431845121,0.018569735282497037,0.0,0.0,0.0,1,3,2531,2531
any_vasopressor,vasopressor,2531,0.4519952587909917,0.43895693401817465,0.013038324772817078,0.0,0.0,0.0,1,3,2531,2531
icu_los_hours,icu_los,2531,454.4005992361386,399.8887132885552,54.51188594758338,271.66666666666663,255.41666666666666,16.24999999999997,1,3,2531,2531
ventilation_hours,ventilation,2531,39.183129197945476,29.779500856051623,9.403628341893853,17.416666666666664,13.916666666666666,3.4999999999999982,1,3,2531,2531
nee_mcgkgmin_max,vasopressor,2531,0.19925721058870013,0.1354010272619518,0.06385618332674833,0.0,0.0,0.0,1,3,2531,2531
sofa_delta,sofa_delta,2531,1.3726176119366098,0.9958310372001221,0.3767865747364877,1.011260194587499,0.7228915662650602,0.2883686283224388,1,3,2531,2531
mortality_anytime,mortality,1073,0.38397017707362535,0.3634669151910531,0.020503261882572232,0.0,0.0,0.0,2,3,1073,1073
vm_time_hours,ventilation,1073,84.27753699788582,51.331691648822265,32.94584534906355,45.78333333333333,31.958333333333336,13.824999999999996,2,3,1073,1073
rrt_on,dialysis_rrt,1073,0.07921714818266543,0.05871388630009319,0.020503261882572232,0.0,0.0,0.0,2,3,1073,1073
any_vasopressor,vasopressor,1073,0.4958061509785648,0.47343895619757687,0.02236719478098792,0.0,0.0,0.0,2,3,1073,1073
icu_los_hours,icu_los,1073,555.5719944082012,380.05048151599874,175.5215128922025,344.5833333333333,250.41666666666666,94.16666666666666,2,3,1073,1073
ventilation_hours,ventilation,1073,46.33822615719167,26.749534016775396,19.588692140416274,20.666666666666664,13.166666666666666,7.499999999999998,2,3,1073,1073
nee_mcgkgmin_max,vasopressor,1073,0.20739049394221806,0.1400372786579683,0.06735321528424976,0.0,0.0,0.0,2,3,1073,1073
sofa_delta,sofa_delta,1073,0.43633530452544417,1.1324832297296823,-0.6961479252042382,0.27227070953517307,0.8424657534246576,-0.5701950438894845,2,3,1073,1073
