metric,category,n_pairs,transfused_mean,control_mean,diff_mean,transfused_median,control_median,diff_median,cluster,k,n_transfused,n_control
mortality_anytime,mortality,3827,0.37104781813430887,0.36373138228377316,0.0073164358505357074,0.0,0.0,0.0,0,2,3827,3827
vm_time_hours,ventilation,3827,77.29211300466625,54.64795621171035,22.644156792955897,43.0,33.0,10.0,0,2,3827,3827
rrt_on,dialysis_rrt,3827,0.065847922654821,0.04677292918735302,0.019074993467467986,0.0,0.0,0.0,0,2,3827,3827
any_vasopressor,vasopressor,3827,0.4724327149203031,0.45597073425659784,0.016461980663705245,0.0,0.0,0.0,0,2,3827,3827
icu_los_hours,icu_los,3827,502.1188267572511,396.8137575124118,105.30506924483927,301.25,255.83333333333331,45.416666666666686,0,2,3827,3827
ventilation_hours,ventilation,3827,42.78651685393258,29.038498388642104,13.748018465290478,19.083333333333332,13.583333333333332,5.5,0,2,3827,3827
nee_mcgkgmin_max,vasopressor,3827,0.19779200418082046,0.13696629213483147,0.060825712045988994,0.0,0.0,0.0,0,2,3827,3827
sofa_delta,sofa_delta,3827,1.026747978775692,1.056875919046401,-0.030127940270709086,0.7639257294429708,0.7697140381282495,-0.005788308685278687,0,2,3827,3827
mortality_anytime,mortality,8,0.75,0.5,0.25,1.0,0.5,0.5,1,2,8,8
vm_time_hours,ventilation,8,60.41875,44.110416666666666,16.308333333333337,46.79166666666667,52.15833333333333,-5.36666666666666,1,2,8,8
rrt_on,dialysis_rrt,8,0.375,0.0,0.375,0.0,0.0,0.0,1,2,8,8
any_vasopressor,vasopressor,8,0.5,0.375,0.125,0.5,0.0,0.5,1,2,8,8
icu_los_hours,icu_los,8,541.3541666666666,374.79166666666663,166.5625,392.29166666666663,352.0833333333333,40.208333333333314,1,2,8,8
ventilation_hours,ventilation,8,55.041666666666664,26.322916666666664,28.71875,40.041666666666664,13.333333333333332,26.708333333333332,1,2,8,8
nee_mcgkgmin_max,vasopressor,8,0.44375,0.0725,0.37124999999999997,0.2,0.0,0.2,1,2,8,8
sofa_delta,sofa_delta,8,1.2805507228477644,1.3127788935515166,-0.03222817070375217,1.2879220701607603,1.2628682062123429,0.025053863948417465,1,2,8,8
mortality_anytime,mortality,3768,0.37048832271762205,0.36491507430997877,0.005573248407643283,0.0,0.0,0.0,0,3,3768,3768
vm_time_hours,ventilation,3768,77.72229089410794,54.48784583971413,23.23444505439381,43.19166666666666,32.666666666666664,10.524999999999999,0,3,3768,3768
rrt_on,dialysis_rrt,3768,0.06581740976645435,0.046974522292993634,0.018842887473460718,0.0,0.0,0.0,0,3,3768,3768
any_vasopressor,vasopressor,3768,0.4750530785562633,0.4564755838641189,0.01857749469214437,0.0,0.0,0.0,0,3,3768,3768
icu_los_hours,icu_los,3768,504.12851645435245,395.7512827317763,108.37723372257614,303.3333333333333,255.41666666666666,47.91666666666666,0,3,3768,3768
ventilation_hours,ventilation,3768,43.04164455060155,28.99057855626327,14.051065994338284,19.083333333333332,13.458333333333332,5.625,0,3,3768,3768
nee_mcgkgmin_max,vasopressor,3768,0.19958864118895964,0.13808386411889595,0.06150477707006369,0.0,0.0,0.0,0,3,3768,3768
sofa_delta,sofa_delta,3768,1.0216360461273792,1.0582759031730051,-0.03663985704562589,0.7557690470666905,0.7634652617424817,-0.007696214675791291,0,3,3768,3768
mortality_anytime,mortality,59,0.4067796610169492,0.288135593220339,0.11864406779661019,0.0,0.0,0.0,1,3,59,59
vm_time_hours,ventilation,59,49.45099999999999,64.3287037037037,-14.877703703703702,27.68333333333333,35.03333333333333,-7.350000000000001,1,3,59,59
rrt_on,dialysis_rrt,59,0.06779661016949153,0.03389830508474576,0.03389830508474576,0.0,0.0,0.0,1,3,59,59
any_vasopressor,vasopressor,59,0.3050847457627119,0.423728813559322,-0.11864406779661013,0.0,0.0,0.0,1,3,59,59
icu_los_hours,icu_los,59,373.7711864406779,464.6680790960451,-90.8968926553672,223.75,305.41666666666663,-81.66666666666663,1,3,59,59
ventilation_hours,ventilation,59,26.492937853107335,32.09887005649717,-5.605932203389834,14.583333333333332,18.75,-4.166666666666668,1,3,59,59
nee_mcgkgmin_max,vasopressor,59,0.08305084745762713,0.06559322033898306,0.01745762711864407,0.0,0.0,0.0,1,3,59,59
sofa_delta,sofa_delta,59,1.9108689015695555,0.9685108192587057,0.9423580823108497,1.6047058823529412,0.9517489456710493,0.6529569366818919,1,3,59,59
mortality_anytime,mortality,8,0.75,0.5,0.25,1.0,0.5,0.5,2,3,8,8
vm_time_hours,ventilation,8,60.41875,44.110416666666666,16.308333333333337,46.79166666666667,52.15833333333333,-5.36666666666666,2,3,8,8
rrt_on,dialysis_rrt,8,0.375,0.0,0.375,0.0,0.0,0.0,2,3,8,8
any_vasopressor,vasopressor,8,0.5,0.375,0.125,0.5,0.0,0.5,2,3,8,8
icu_los_hours,icu_los,8,541.3541666666666,374.79166666666663,166.5625,392.29166666666663,352.0833333333333,40.208333333333314,2,3,8,8
ventilation_hours,ventilation,8,55.041666666666664,26.322916666666664,28.71875,40.041666666666664,13.333333333333332,26.708333333333332,2,3,8,8
nee_mcgkgmin_max,vasopressor,8,0.44375,0.0725,0.37124999999999997,0.2,0.0,0.2,2,3,8,8
sofa_delta,sofa_delta,8,1.2805507228477644,1.3127788935515166,-0.03222817070375217,1.2879220701607603,1.2628682062123429,0.025053863948417465,2,3,8,8
mortality_anytime,mortality,3761,0.3706461047593725,0.36506248338207925,0.005583621377293235,0.0,0.0,0.0,0,4,3761,3761
