metric,category,n_pairs,transfused_mean,control_mean,diff_mean,transfused_median,control_median,diff_median,cluster,k,n_transfused,n_control
mortality_anytime,mortality,3827,0.37104781813430887,0.36373138228377316,0.0073164358505357074,0.0,0.0,0.0,0,2,3827,3827
vm_time_hours,ventilation,3827,77.29211300466625,54.64795621171035,22.644156792955897,43.0,33.0,10.0,0,2,3827,3827
rrt_on,dialysis_rrt,3827,0.065847922654821,0.04677292918735302,0.019074993467467986,0.0,0.0,0.0,0,2,3827,3827
any_vasopressor,vasopressor,3827,0.4724327149203031,0.45597073425659784,0.016461980663705245,0.0,0.0,0.0,0,2,3827,3827
icu_los_hours,icu_los,3827,502.1188267572511,396.8137575124118,105.30506924483927,301.25,255.83333333333331,45.416666666666686,0,2,3827,3827
ventilation_hours,ventilation,3827,42.78651685393258,29.038498388642104,13.748018465290478,19.083333333333332,13.583333333333332,5.5,0,2,3827,3827
nee_mcgkgmin_max,vasopressor,3827,0.19779200418082046,0.13696629213483147,0.060825712045988994,0.0,0.0,0.0,0,2,3827,3827
sofa_delta,sofa_delta,3827,1.026747978775692,1.056875919046401,-0.030127940270709086,0.7639257294429708,0.7697140381282495,-0.005788308685278687,0,2,3827,3827
mortality_anytime,mortality,8,0.75,0.5,0.25,1.0,0.5,0.5,1,2,8,8
vm_time_hours,ventilation,8,60.41875,44.110416666666666,16.308333333333337,46.79166666666667,52.15833333333333,-5.36666666666666,1,2,8,8
rrt_on,dialysis_rrt,8,0.375,0.0,0.375,0.0,0.0,0.0,1,2,8,8
any_vasopressor,vasopressor,8,0.5,0.375,0.125,0.5,0.0,0.5,1,2,8,8
icu_los_hours,icu_los,8,541.3541666666666,374.79166666666663,166.5625,392.29166666666663,352.0833333333333,40.208333333333314,1,2,8,8
ventilation_hours,ventilation,8,55.041666666666664,26.322916666666664,28.71875,40.041666666666664,13.333333333333332,26.708333333333332,1,2,8,8
nee_mcgkgmin_max,vasopressor,8,0.44375,0.0725,0.37124999999999997,0.2,0.0,0.2,1,2,8,8
sofa_delta,sofa_delta,8,1.2805507228477644,1.3127788935515166,-0.03222817070375217,1.2879220701607603,1.2628682062123429,0.025053863948417465,1,2,8,8
