feature,stat,value,cluster,k,n_transfused,n_control
age_max,mean,67.4462477278629,0,2,7702,3393
age_max,median,69.0,0,2,7702,3393
age_max,missing_rate,0.0,0,2,7702,3393
age_mean,mean,67.4462477278629,0,2,7702,3393
age_mean,median,69.0,0,2,7702,3393
age_mean,missing_rate,0.0,0,2,7702,3393
age_median,mean,67.4462477278629,0,2,7702,3393
age_median,median,69.0,0,2,7702,3393
age_median,missing_rate,0.0,0,2,7702,3393
age_min,mean,67.4462477278629,0,2,7702,3393
age_min,median,69.0,0,2,7702,3393
age_min,missing_rate,0.0,0,2,7702,3393
age_std,mean,0.0,0,2,7702,3393
age_std,median,0.0,0,2,7702,3393
age_std,missing_rate,0.0,0,2,7702,3393
aids_max,mean,0.004674110620618021,0,2,7702,3393
aids_max,median,0.0,0,2,7702,3393
aids_max,missing_rate,0.0,0,2,7702,3393
aids_mean,mean,0.004674110620618021,0,2,7702,3393
aids_mean,median,0.0,0,2,7702,3393
aids_mean,missing_rate,0.0,0,2,7702,3393
aids_median,mean,0.004674110620618021,0,2,7702,3393
aids_median,median,0.0,0,2,7702,3393
aids_median,missing_rate,0.0,0,2,7702,3393
aids_min,mean,0.004674110620618021,0,2,7702,3393
aids_min,median,0.0,0,2,7702,3393
aids_min,missing_rate,0.0,0,2,7702,3393
aids_std,mean,0.0,0,2,7702,3393
aids_std,median,0.0,0,2,7702,3393
aids_std,missing_rate,0.0,0,2,7702,3393
albumin_max,mean,,0,2,7702,3393
albumin_max,median,,0,2,7702,3393
albumin_max,missing_rate,1.0,0,2,7702,3393
albumin_mean,mean,,0,2,7702,3393
albumin_mean,median,,0,2,7702,3393
albumin_mean,missing_rate,1.0,0,2,7702,3393
albumin_median,mean,,0,2,7702,3393
albumin_median,median,,0,2,7702,3393
albumin_median,missing_rate,1.0,0,2,7702,3393
albumin_min,mean,,0,2,7702,3393
albumin_min,median,,0,2,7702,3393
albumin_min,missing_rate,1.0,0,2,7702,3393
albumin_std,mean,,0,2,7702,3393
albumin_std,median,,0,2,7702,3393
albumin_std,missing_rate,1.0,0,2,7702,3393
alkaline_phosphatase_max,mean,85.66658010906258,0,2,7702,3393
alkaline_phosphatase_max,median,75.0,0,2,7702,3393
alkaline_phosphatase_max,missing_rate,0.0,0,2,7702,3393
alkaline_phosphatase_mean,mean,80.37671031781551,0,2,7702,3393
alkaline_phosphatase_mean,median,75.0,0,2,7702,3393
alkaline_phosphatase_mean,missing_rate,0.0,0,2,7702,3393
alkaline_phosphatase_median,mean,80.76551545053233,0,2,7702,3393
alkaline_phosphatase_median,median,75.0,0,2,7702,3393
alkaline_phosphatase_median,missing_rate,0.0,0,2,7702,3393
alkaline_phosphatase_min,mean,72.31134770189561,0,2,7702,3393
alkaline_phosphatase_min,median,75.0,0,2,7702,3393
alkaline_phosphatase_min,missing_rate,0.0,0,2,7702,3393
alkaline_phosphatase_std,mean,4.846633808254679,0,2,7702,3393
alkaline_phosphatase_std,median,0.0,0,2,7702,3393
alkaline_phosphatase_std,missing_rate,0.0,0,2,7702,3393
alt_max,mean,64.37185146715139,0,2,7702,3393
alt_max,median,25.0,0,2,7702,3393
alt_max,missing_rate,0.0,0,2,7702,3393
alt_mean,mean,50.27613307669494,0,2,7702,3393
alt_mean,median,25.0,0,2,7702,3393
alt_mean,missing_rate,0.0,0,2,7702,3393
alt_median,mean,51.19793560114256,0,2,7702,3393
alt_median,median,25.0,0,2,7702,3393
alt_median,missing_rate,0.0,0,2,7702,3393
alt_min,mean,25.344066476239938,0,2,7702,3393
alt_min,median,25.0,0,2,7702,3393
alt_min,missing_rate,0.0,0,2,7702,3393
alt_std,mean,13.036573153263259,0,2,7702,3393
alt_std,median,0.0,0,2,7702,3393
alt_std,missing_rate,0.0,0,2,7702,3393
any_vasopressor_delta,mean,-0.012787256412174831,0,2,7702,3393
any_vasopressor_delta,median,0.0,0,2,7702,3393
any_vasopressor_delta,missing_rate,0.0,0,2,7702,3393
any_vasopressor_max,mean,0.391326928070631,0,2,7702,3393
any_vasopressor_max,median,0.0,0,2,7702,3393
any_vasopressor_max,missing_rate,0.0,0,2,7702,3393
any_vasopressor_mean,mean,0.025722543540947173,0,2,7702,3393
any_vasopressor_mean,median,0.0,0,2,7702,3393
any_vasopressor_mean,missing_rate,0.0,0,2,7702,3393
any_vasopressor_median,mean,0.0030511555440145416,0,2,7702,3393
any_vasopressor_median,median,0.0,0,2,7702,3393
any_vasopressor_median,missing_rate,0.0,0,2,7702,3393
any_vasopressor_min,mean,0.002077382498052454,0,2,7702,3393
any_vasopressor_min,median,0.0,0,2,7702,3393
any_vasopressor_min,missing_rate,0.0,0,2,7702,3393
any_vasopressor_post_mean,mean,0.012935287128772342,0,2,7702,3393
any_vasopressor_post_mean,median,0.0,0,2,7702,3393
