feature,stat,value,cluster,k,n_transfused,n_control
age_max,mean,66.89245691684717,0,2,10619,3827
age_max,median,69.0,0,2,10619,3827
age_max,missing_rate,0.0,0,2,10619,3827
age_mean,mean,66.89245691684717,0,2,10619,3827
age_mean,median,69.0,0,2,10619,3827
age_mean,missing_rate,0.0,0,2,10619,3827
age_median,mean,66.89245691684717,0,2,10619,3827
age_median,median,69.0,0,2,10619,3827
age_median,missing_rate,0.0,0,2,10619,3827
age_min,mean,66.89245691684717,0,2,10619,3827
age_min,median,69.0,0,2,10619,3827
age_min,missing_rate,0.0,0,2,10619,3827
age_std,mean,0.0,0,2,10619,3827
age_std,median,0.0,0,2,10619,3827
age_std,missing_rate,0.0,0,2,10619,3827
aids_max,mean,0.004708541293907148,0,2,10619,3827
aids_max,median,0.0,0,2,10619,3827
aids_max,missing_rate,0.0,0,2,10619,3827
aids_mean,mean,0.004708541293907148,0,2,10619,3827
aids_mean,median,0.0,0,2,10619,3827
aids_mean,missing_rate,0.0,0,2,10619,3827
aids_median,mean,0.004708541293907148,0,2,10619,3827
aids_median,median,0.0,0,2,10619,3827
aids_median,missing_rate,0.0,0,2,10619,3827
aids_min,mean,0.004708541293907148,0,2,10619,3827
aids_min,median,0.0,0,2,10619,3827
aids_min,missing_rate,0.0,0,2,10619,3827
aids_std,mean,0.0,0,2,10619,3827
aids_std,median,0.0,0,2,10619,3827
aids_std,missing_rate,0.0,0,2,10619,3827
albumin_max,mean,,0,2,10619,3827
albumin_max,median,,0,2,10619,3827
albumin_max,missing_rate,1.0,0,2,10619,3827
albumin_mean,mean,,0,2,10619,3827
albumin_mean,median,,0,2,10619,3827
albumin_mean,missing_rate,1.0,0,2,10619,3827
albumin_median,mean,,0,2,10619,3827
albumin_median,median,,0,2,10619,3827
albumin_median,missing_rate,1.0,0,2,10619,3827
albumin_min,mean,,0,2,10619,3827
albumin_min,median,,0,2,10619,3827
albumin_min,missing_rate,1.0,0,2,10619,3827
albumin_std,mean,,0,2,10619,3827
albumin_std,median,,0,2,10619,3827
albumin_std,missing_rate,1.0,0,2,10619,3827
alkaline_phosphatase_max,mean,93.71588661832564,0,2,10619,3827
alkaline_phosphatase_max,median,75.0,0,2,10619,3827
alkaline_phosphatase_max,missing_rate,0.0,0,2,10619,3827
alkaline_phosphatase_mean,mean,86.73975360030414,0,2,10619,3827
alkaline_phosphatase_mean,median,75.0,0,2,10619,3827
alkaline_phosphatase_mean,missing_rate,0.0,0,2,10619,3827
alkaline_phosphatase_median,mean,87.32521894717017,0,2,10619,3827
alkaline_phosphatase_median,median,75.0,0,2,10619,3827
alkaline_phosphatase_median,missing_rate,0.0,0,2,10619,3827
alkaline_phosphatase_min,mean,76.01054713249835,0,2,10619,3827
alkaline_phosphatase_min,median,75.0,0,2,10619,3827
alkaline_phosphatase_min,missing_rate,0.0,0,2,10619,3827
alkaline_phosphatase_std,mean,6.063569756778831,0,2,10619,3827
alkaline_phosphatase_std,median,0.0,0,2,10619,3827
alkaline_phosphatase_std,missing_rate,0.0,0,2,10619,3827
alt_max,mean,87.65420472737546,0,2,10619,3827
alt_max,median,25.0,0,2,10619,3827
alt_max,missing_rate,0.0,0,2,10619,3827
alt_mean,mean,64.139727384275,0,2,10619,3827
alt_mean,median,25.0,0,2,10619,3827
alt_mean,missing_rate,0.0,0,2,10619,3827
alt_median,mean,63.96718146718147,0,2,10619,3827
alt_median,median,25.0,0,2,10619,3827
alt_median,missing_rate,0.0,0,2,10619,3827
alt_min,mean,30.89349279593182,0,2,10619,3827
alt_min,median,25.0,0,2,10619,3827
alt_min,missing_rate,0.0,0,2,10619,3827
alt_std,mean,18.236367701908716,0,2,10619,3827
alt_std,median,0.0,0,2,10619,3827
alt_std,missing_rate,0.0,0,2,10619,3827
any_vasopressor_delta,mean,-0.011100746682529387,0,2,10619,3827
