covariate,smd_pre,abs_smd_pre,smd_post,abs_smd_post
age_max,0.12215777289986532,0.12215777289986532,-0.020340760503340105,0.020340760503340105
age_mean,0.12215777289986532,0.12215777289986532,-0.020340760503340105,0.020340760503340105
age_median,0.12215777289986532,0.12215777289986532,-0.020340760503340105,0.020340760503340105
age_min,0.12215777289986532,0.12215777289986532,-0.020340760503340105,0.020340760503340105
age_std,0.0,0.0,0.0,0.0
any_vasopressor_delta,-0.11748922571763773,0.11748922571763773,0.03822994676223162,0.03822994676223162
any_vasopressor_max,0.4386133993984221,0.4386133993984221,0.15672043821460824,0.15672043821460824
any_vasopressor_mean,0.2891823607991748,0.2891823607991748,0.07954291072124957,0.07954291072124957
any_vasopressor_median,0.0708218553457359,0.0708218553457359,0.019993003672857564,0.019993003672857564
any_vasopressor_min,0.05488471310877101,0.05488471310877101,0.0,0.0
any_vasopressor_post_mean,0.47085852249891885,0.47085852249891885,0.2002451655839824,0.2002451655839824
any_vasopressor_pre_mean,0.2891823607991748,0.2891823607991748,0.07954291072124957,0.07954291072124957
any_vasopressor_slope,0.07597793638908838,0.07597793638908838,0.02920419861566489,0.02920419861566489
any_vasopressor_std,0.3891403494094559,0.3891403494094559,0.11117381887892065,0.11117381887892065
apsiii_max,0.5038629831468355,0.5038629831468355,0.17544584906560992,0.17544584906560992
apsiii_mean,0.5038629831468355,0.5038629831468355,0.17544584906560992,0.17544584906560992
apsiii_median,0.5038629831468355,0.5038629831468355,0.17544584906560992,0.17544584906560992
apsiii_min,0.5038629831468355,0.5038629831468355,0.17544584906560992,0.17544584906560992
apsiii_std,0.0,0.0,0.0,0.0
bilirubin_direct_delta,0.0,0.0,0.0,0.0
bilirubin_direct_max,0.0,0.0,0.0,0.0
bilirubin_direct_mean,0.0,0.0,0.0,0.0
bilirubin_direct_median,0.0,0.0,0.0,0.0
bilirubin_direct_min,0.0,0.0,0.0,0.0
bilirubin_direct_post_mean,0.0,0.0,0.0,0.0
bilirubin_direct_pre_mean,0.0,0.0,0.0,0.0
bilirubin_direct_slope,0.0,0.0,0.0,0.0
bilirubin_direct_std,0.0,0.0,0.0,0.0
bilirubin_indirect_delta,0.0,0.0,0.0,0.0
bilirubin_indirect_max,0.0,0.0,0.0,0.0
bilirubin_indirect_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_median,0.0,0.0,0.0,0.0
bilirubin_indirect_min,0.0,0.0,0.0,0.0
bilirubin_indirect_post_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_pre_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_slope,0.0,0.0,0.0,0.0
bilirubin_indirect_std,0.0,0.0,0.0,0.0
bilirubin_neonatal_delta,0.0,0.0,0.0,0.0
bilirubin_neonatal_max,0.0,0.0,0.0,0.0
bilirubin_neonatal_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_median,0.0,0.0,0.0,0.0
bilirubin_neonatal_min,0.0,0.0,0.0,0.0
bilirubin_neonatal_post_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_pre_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_slope,0.0,0.0,0.0,0.0
bilirubin_neonatal_std,0.0,0.0,0.0,0.0
bilirubin_total_delta,0.18179267121006334,0.18179267121006334,0.078539107488057,0.078539107488057
bilirubin_total_max,0.1707647896253623,0.1707647896253623,0.09238066613656061,0.09238066613656061
bilirubin_total_mean,0.1645189966559401,0.1645189966559401,0.08749845231375067,0.08749845231375067
bilirubin_total_median,0.15445613270479563,0.15445613270479563,0.08253563473345663,0.08253563473345663
bilirubin_total_min,0.11683330274286294,0.11683330274286294,0.10651090232592242,0.10651090232592242
bilirubin_total_post_mean,0.2318811115514895,0.2318811115514895,0.1134883649775604,0.1134883649775604
bilirubin_total_pre_mean,0.1645189966559401,0.1645189966559401,0.08749845231375067,0.08749845231375067
bilirubin_total_slope,0.08126426018081924,0.08126426018081924,0.041514259362445634,0.041514259362445634
bilirubin_total_std,0.12276752265582622,0.12276752265582622,0.051924028994277074,0.051924028994277074
bmi_max,-0.12932079811426017,0.12932079811426017,0.010770073359494065,0.010770073359494065
bmi_mean,-0.12932079811426067,0.12932079811426067,0.010770073359494065,0.010770073359494065
bmi_median,-0.12932079811426017,0.12932079811426017,0.010770073359494065,0.010770073359494065
