feature,stat,value,cluster,k,n_transfused,n_control
age_max,mean,66.87524696584815,0,2,10629,3155
age_max,median,69.0,0,2,10629,3155
age_max,missing_rate,0.0,0,2,10629,3155
age_mean,mean,66.87524696584815,0,2,10629,3155
age_mean,median,69.0,0,2,10629,3155
age_mean,missing_rate,0.0,0,2,10629,3155
age_median,mean,66.87524696584815,0,2,10629,3155
age_median,median,69.0,0,2,10629,3155
age_median,missing_rate,0.0,0,2,10629,3155
age_min,mean,66.87524696584815,0,2,10629,3155
age_min,median,69.0,0,2,10629,3155
age_min,missing_rate,0.0,0,2,10629,3155
age_std,mean,0.0,0,2,10629,3155
age_std,median,0.0,0,2,10629,3155
age_std,missing_rate,0.0,0,2,10629,3155
aids_max,mean,0.004704111393357795,0,2,10629,3155
aids_max,median,0.0,0,2,10629,3155
aids_max,missing_rate,0.0,0,2,10629,3155
aids_mean,mean,0.004704111393357795,0,2,10629,3155
aids_mean,median,0.0,0,2,10629,3155
aids_mean,missing_rate,0.0,0,2,10629,3155
aids_median,mean,0.004704111393357795,0,2,10629,3155
aids_median,median,0.0,0,2,10629,3155
aids_median,missing_rate,0.0,0,2,10629,3155
aids_min,mean,0.004704111393357795,0,2,10629,3155
aids_min,median,0.0,0,2,10629,3155
aids_min,missing_rate,0.0,0,2,10629,3155
aids_std,mean,0.0,0,2,10629,3155
aids_std,median,0.0,0,2,10629,3155
aids_std,missing_rate,0.0,0,2,10629,3155
albumin_max,mean,,0,2,10629,3155
albumin_max,median,,0,2,10629,3155
albumin_max,missing_rate,1.0,0,2,10629,3155
albumin_mean,mean,,0,2,10629,3155
albumin_mean,median,,0,2,10629,3155
albumin_mean,missing_rate,1.0,0,2,10629,3155
albumin_median,mean,,0,2,10629,3155
albumin_median,median,,0,2,10629,3155
albumin_median,missing_rate,1.0,0,2,10629,3155
albumin_min,mean,,0,2,10629,3155
albumin_min,median,,0,2,10629,3155
albumin_min,missing_rate,1.0,0,2,10629,3155
albumin_std,mean,,0,2,10629,3155
albumin_std,median,,0,2,10629,3155
albumin_std,missing_rate,1.0,0,2,10629,3155
alkaline_phosphatase_max,mean,93.71163797158717,0,2,10629,3155
alkaline_phosphatase_max,median,75.0,0,2,10629,3155
alkaline_phosphatase_max,missing_rate,0.0,0,2,10629,3155
alkaline_phosphatase_mean,mean,86.72917675032625,0,2,10629,3155
alkaline_phosphatase_mean,median,75.0,0,2,10629,3155
alkaline_phosphatase_mean,missing_rate,0.0,0,2,10629,3155
alkaline_phosphatase_median,mean,87.3132467776837,0,2,10629,3155
alkaline_phosphatase_median,median,75.0,0,2,10629,3155
alkaline_phosphatase_median,missing_rate,0.0,0,2,10629,3155
alkaline_phosphatase_min,mean,76.0002822466836,0,2,10629,3155
alkaline_phosphatase_min,median,75.0,0,2,10629,3155
alkaline_phosphatase_min,missing_rate,0.0,0,2,10629,3155
alkaline_phosphatase_std,mean,6.068008370558367,0,2,10629,3155
alkaline_phosphatase_std,median,0.0,0,2,10629,3155
alkaline_phosphatase_std,missing_rate,0.0,0,2,10629,3155
alt_max,mean,89.08975444538527,0,2,10629,3155
alt_max,median,25.0,0,2,10629,3155
alt_max,missing_rate,0.0,0,2,10629,3155
alt_mean,mean,65.09539830464617,0,2,10629,3155
alt_mean,median,25.0,0,2,10629,3155
alt_mean,missing_rate,0.0,0,2,10629,3155
alt_median,mean,64.95093611816728,0,2,10629,3155
alt_median,median,25.0,0,2,10629,3155
alt_median,missing_rate,0.0,0,2,10629,3155
alt_min,mean,30.92689810894722,0,2,10629,3155
alt_min,median,25.0,0,2,10629,3155
alt_min,missing_rate,0.0,0,2,10629,3155
alt_std,mean,18.576545637524028,0,2,10629,3155
alt_std,median,0.0,0,2,10629,3155
alt_std,missing_rate,0.0,0,2,10629,3155
any_vasopressor_delta,mean,-0.011094809038958571,0,2,10629,3155
any_vasopressor_delta,median,0.0,0,2,10629,3155
any_vasopressor_delta,missing_rate,0.0,0,2,10629,3155
any_vasopressor_max,mean,0.4346598927462602,0,2,10629,3155
any_vasopressor_max,median,0.0,0,2,10629,3155
any_vasopressor_max,missing_rate,0.0,0,2,10629,3155
any_vasopressor_mean,mean,0.023569084808945134,0,2,10629,3155
any_vasopressor_mean,median,0.0,0,2,10629,3155
any_vasopressor_mean,missing_rate,0.0,0,2,10629,3155
any_vasopressor_median,mean,0.0022109323548781634,0,2,10629,3155
any_vasopressor_median,median,0.0,0,2,10629,3155
any_vasopressor_median,missing_rate,0.0,0,2,10629,3155
any_vasopressor_min,mean,0.0015053156458744942,0,2,10629,3155
any_vasopressor_min,median,0.0,0,2,10629,3155
any_vasopressor_min,missing_rate,0.0,0,2,10629,3155
any_vasopressor_post_mean,mean,0.012474275769986564,0,2,10629,3155
any_vasopressor_post_mean,median,0.0,0,2,10629,3155
any_vasopressor_post_mean,missing_rate,0.0,0,2,10629,3155
any_vasopressor_pre_mean,mean,0.023569084808945134,0,2,10629,3155
any_vasopressor_pre_mean,median,0.0,0,2,10629,3155
any_vasopressor_pre_mean,missing_rate,0.0,0,2,10629,3155
any_vasopressor_slope,mean,0.00041195537816889543,0,2,10629,3155
any_vasopressor_slope,median,0.0,0,2,10629,3155
any_vasopressor_slope,missing_rate,0.012889265217800358,0,2,10629,3155
any_vasopressor_std,mean,0.08436020752205928,0,2,10629,3155
any_vasopressor_std,median,0.0,0,2,10629,3155
any_vasopressor_std,missing_rate,0.0,0,2,10629,3155
apsiii_max,mean,50.38536080534387,0,2,10629,3155
apsiii_max,median,46.0,0,2,10629,3155
apsiii_max,missing_rate,0.0,0,2,10629,3155
apsiii_mean,mean,50.38536080534387,0,2,10629,3155
apsiii_mean,median,46.0,0,2,10629,3155
apsiii_mean,missing_rate,0.0,0,2,10629,3155
apsiii_median,mean,50.38536080534387,0,2,10629,3155
apsiii_median,median,46.0,0,2,10629,3155
apsiii_median,missing_rate,0.0,0,2,10629,3155
apsiii_min,mean,50.38536080534387,0,2,10629,3155
apsiii_min,median,46.0,0,2,10629,3155
apsiii_min,missing_rate,0.0,0,2,10629,3155
apsiii_std,mean,0.0,0,2,10629,3155
apsiii_std,median,0.0,0,2,10629,3155
apsiii_std,missing_rate,0.0,0,2,10629,3155
ast_max,mean,147.83733182801768,0,2,10629,3155
ast_max,median,20.0,0,2,10629,3155
ast_max,missing_rate,0.0,0,2,10629,3155
ast_mean,mean,98.03320889257377,0,2,10629,3155
ast_mean,median,20.0,0,2,10629,3155
ast_mean,missing_rate,0.0,0,2,10629,3155
