metric,category,n_pairs,transfused_mean,control_mean,diff_mean,transfused_median,control_median,diff_median,cluster,k,n_transfused,n_control
mortality_anytime,mortality,7085,0.3570924488355681,0.4228652081863091,-0.065772759350741,0.0,0.0,0.0,0,2,7085,2968
vm_time_hours,ventilation,7085,81.13360716754399,57.814929133858264,23.31867803368572,43.68333333333333,37.5,6.18333333333333,0,2,7085,2968
rrt_on,dialysis_rrt,7085,0.07904022582921666,0.06365561044460127,0.015384615384615385,0.0,0.0,0.0,0,2,7085,2968
any_vasopressor,vasopressor,7085,0.547212420606916,0.5465067043048695,0.0007057163020465218,1.0,1.0,0.0,0,2,7085,2968
icu_los_hours,icu_los,7085,532.4073747353564,412.87355916254995,119.53381557280642,310.41666666666663,280.41666666666663,30.0,0,2,7085,2968
ventilation_hours,ventilation,7085,46.20611620795107,32.1116325570454,14.094483650905673,19.083333333333332,17.083333333333332,2.0,0,2,7085,2968
nee_mcgkgmin_max,vasopressor,7085,0.2036527875793931,0.1832223006351447,0.0204304869442484,0.05,0.05,0.0,0,2,7085,2968
sofa_delta,sofa_delta,7085,1.5622718543559677,1.0617828156885498,0.5004890386674179,1.1529491432047467,0.7465959759460694,0.4063531672586773,0,2,7085,2968
mortality_anytime,mortality,2924,0.45109439124487005,0.5010259917920656,-0.04993160054719559,0.0,1.0,-1.0,1,2,2924,667
vm_time_hours,ventilation,2924,186.1466118851971,62.21138704930095,123.93522483589615,112.33333333333331,48.0,64.33333333333331,1,2,2924,667
rrt_on,dialysis_rrt,2924,0.16279069767441862,0.06668946648426813,0.09610123119015049,0.0,0.0,0.0,1,2,2924,667
any_vasopressor,vasopressor,2924,0.6812585499316005,0.6662106703146374,0.015047879616963078,1.0,1.0,0.0,1,2,2924,667
icu_los_hours,icu_los,2924,1218.4615823073416,442.2137197902416,776.2478625171,775.4166666666666,340.41666666666663,435.0,1,2,2924,667
ventilation_hours,ventilation,2924,108.07646488828087,34.75695394436844,73.31951094391243,52.0,18.083333333333332,33.91666666666667,1,2,2924,667
nee_mcgkgmin_max,vasopressor,2924,0.4145554035567715,0.24168946648426815,0.17286593707250336,0.12,0.15,-0.03,1,2,2924,667
sofa_delta,sofa_delta,2924,0.1386667274151417,1.340161185332143,-1.2014944579170013,-0.08725951385753561,0.906764168190128,-0.9940236820476636,1,2,2924,667
mortality_anytime,mortality,121,0.35537190082644626,0.47107438016528924,-0.11570247933884298,0.0,0.0,0.0,0,3,121,110
vm_time_hours,ventilation,121,60.983333333333334,49.74324324324324,11.240090090090092,31.425,26.0,5.425000000000001,0,3,121,110
rrt_on,dialysis_rrt,121,0.06611570247933884,0.06611570247933884,0.0,0.0,0.0,0.0,0,3,121,110
any_vasopressor,vasopressor,121,0.4132231404958678,0.5867768595041323,-0.1735537190082645,0.0,1.0,-1.0,0,3,121,110
icu_los_hours,icu_los,121,430.27892561983464,385.1308539944904,45.148071625344244,258.75,236.66666666666666,22.083333333333343,0,3,121,110
ventilation_hours,ventilation,121,30.5530303030303,30.424242424242422,0.1287878787878789,15.916666666666666,9.25,6.666666666666666,0,3,121,110
nee_mcgkgmin_max,vasopressor,121,0.11760330578512397,0.1587603305785124,-0.04115702479338844,0.0,0.05,-0.05,0,3,121,110
sofa_delta,sofa_delta,121,2.211994652113702,1.3365899473346616,0.8754047047790403,1.7865612648221343,0.7428196559932478,1.0437416088288864,0,3,121,110
mortality_anytime,mortality,2936,0.4502724795640327,0.5006811989100818,-0.05040871934604907,0.0,1.0,-1.0,1,3,2936,673
vm_time_hours,ventilation,2936,185.60091372967838,62.1253054740958,123.47560825558259,112.0,48.0,64.0,1,3,2936,673
rrt_on,dialysis_rrt,2936,0.16280653950953677,0.0667574931880109,0.09604904632152587,0.0,0.0,0.0,1,3,2936,673
any_vasopressor,vasopressor,2936,0.6801771117166212,0.6655313351498637,0.014645776566757474,1.0,1.0,0.0,1,3,2936,673
icu_los_hours,icu_los,2936,1215.0017029972753,441.7496877838328,773.2520152134425,766.25,340.41666666666663,425.83333333333337,1,3,2936,673
ventilation_hours,ventilation,2936,107.66831289736604,34.72845708446866,72.93985581289738,51.5,18.083333333333332,33.41666666666667,1,3,2936,673
nee_mcgkgmin_max,vasopressor,2936,0.4131846049046322,0.24116485013623976,0.17201975476839246,0.12,0.15,-0.03,1,3,2936,673
sofa_delta,sofa_delta,2936,0.14321091254638416,1.3448316905196411,-1.201620777973257,-0.07789453388605039,0.906764168190128,-0.9846587020761783,1,3,2936,673
mortality_anytime,mortality,6952,0.357307249712313,0.42203682393555814,-0.06472957422324516,0.0,0.0,0.0,2,3,6952,2935
vm_time_hours,ventilation,6952,81.55251286217168,57.989407074436784,23.563105787734898,44.0,37.9,6.100000000000001,2,3,6952,2935
rrt_on,dialysis_rrt,6952,0.07911392405063292,0.06357882623705409,0.015535097813578827,0.0,0.0,0.0,2,3,6952,2935
any_vasopressor,vasopressor,6952,0.5497698504027618,0.5458860759493671,0.003883774453394717,1.0,1.0,0.0,2,3,6952,2935
icu_los_hours,icu_los,6952,534.4619054468737,413.50175009589566,120.96015535097808,311.25,281.25,30.0,2,3,6952,2935
ventilation_hours,ventilation,6952,46.544135980053696,32.148470464135016,14.39566551591868,19.083333333333332,17.166666666666664,1.9166666666666679,2,3,6952,2935
nee_mcgkgmin_max,vasopressor,6952,0.20536536248561563,0.1837686996547756,0.021596662830840024,0.05,0.05,0.0,2,3,6952,2935
sofa_delta,sofa_delta,6952,1.5595050807645374,1.0636720687192316,0.49583301204530583,1.1476850705620203,0.7463404209851481,0.4013446495768722,2,3,6952,2935
mortality_anytime,mortality,5503,0.34581137561330183,0.432673087406869,-0.08686171179356716,0.0,0.0,0.0,0,4,5503,2439
vm_time_hours,ventilation,5503,79.74556631636787,59.29466397849462,20.450902337873252,42.85,39.275,3.575000000000003,0,4,5503,2439
rrt_on,dialysis_rrt,5503,0.0757768489914592,0.06305651462838452,0.012720334363074681,0.0,0.0,0.0,0,4,5503,2439
any_vasopressor,vasopressor,5503,0.5466109394875522,0.552244230419771,-0.00563329093221876,1.0,1.0,0.0,0,4,5503,2439
icu_los_hours,icu_los,5503,522.6843691319885,419.0555151735417,103.62885395844683,297.5,291.25,6.25,0,4,5503,2439
ventilation_hours,ventilation,5503,45.727633412078255,32.966563692531345,12.76106971954691,19.0,18.083333333333332,0.9166666666666679,0,4,5503,2439
nee_mcgkgmin_max,vasopressor,5503,0.21136107577684898,0.18651644557514085,0.02484463020170813,0.05,0.05,0.0,0,4,5503,2439
sofa_delta,sofa_delta,5503,1.7481570810755533,1.0653054615216488,0.6828516195539045,1.3454872683642178,0.7465959759460694,0.5988912924181484,0,4,5503,2439
mortality_anytime,mortality,2279,0.468187801667398,0.523036419482229,-0.054848617814831024,0.0,1.0,-1.0,1,4,2279,430
vm_time_hours,ventilation,2279,207.6165080084618,64.76385523454489,142.85265277391693,130.8,56.98333333333333,73.81666666666669,1,4,2279,430
rrt_on,dialysis_rrt,2279,0.1755155770074594,0.06669591926283458,0.10881965774462482,0.0,0.0,0.0,1,4,2279,430
any_vasopressor,vasopressor,2279,0.7025010969723563,0.6932865291794647,0.009214567792891648,1.0,1.0,0.0,1,4,2279,430
icu_los_hours,icu_los,2279,1363.7419555360536,455.53331139388615,908.2086441421675,920.0,366.66666666666663,553.3333333333334,1,4,2279,430
ventilation_hours,ventilation,2279,122.47257569109259,36.68213397689045,85.79044171420213,64.08333333333333,18.833333333333332,45.25,1,4,2279,430
nee_mcgkgmin_max,vasopressor,2279,0.4211978938130759,0.26651601579640194,0.15468187801667393,0.14,0.2,-0.06,1,4,2279,430
sofa_delta,sofa_delta,2279,0.02107090038614762,1.5399650444822377,-1.5188941440960901,-0.19064124783362213,0.9600000000000009,-1.150641247833623,1,4,2279,430
mortality_anytime,mortality,121,0.35537190082644626,0.47107438016528924,-0.11570247933884298,0.0,0.0,0.0,2,4,121,110
vm_time_hours,ventilation,121,60.983333333333334,49.74324324324324,11.240090090090092,31.425,26.0,5.425000000000001,2,4,121,110
rrt_on,dialysis_rrt,121,0.06611570247933884,0.06611570247933884,0.0,0.0,0.0,0.0,2,4,121,110
any_vasopressor,vasopressor,121,0.4132231404958678,0.5867768595041323,-0.1735537190082645,0.0,1.0,-1.0,2,4,121,110
icu_los_hours,icu_los,121,430.27892561983464,385.1308539944904,45.148071625344244,258.75,236.66666666666666,22.083333333333343,2,4,121,110
ventilation_hours,ventilation,121,30.5530303030303,30.424242424242422,0.1287878787878789,15.916666666666666,9.25,6.666666666666666,2,4,121,110
nee_mcgkgmin_max,vasopressor,121,0.11760330578512397,0.1587603305785124,-0.04115702479338844,0.0,0.05,-0.05,2,4,121,110
sofa_delta,sofa_delta,121,2.211994652113702,1.3365899473346616,0.8754047047790403,1.7865612648221343,0.7428196559932478,1.0437416088288864,2,4,121,110
mortality_anytime,mortality,2106,0.3969610636277303,0.3945868945868946,0.0023741690408357052,0.0,0.0,0.0,3,4,2106,1222
vm_time_hours,ventilation,2106,93.59655293088365,52.73316225463713,40.86339067624652,52.0,33.5,18.5,3,4,2106,1222
rrt_on,dialysis_rrt,2106,0.10018993352326686,0.06600189933523266,0.03418803418803419,0.0,0.0,0.0,3,4,2106,1222
any_vasopressor,vasopressor,2106,0.5745489078822412,0.5365622032288699,0.037986704653371284,1.0,1.0,0.0,3,4,2106,1222
icu_los_hours,icu_los,2106,616.5831750553973,392.8861981639759,223.6969768914214,371.25,264.16666666666663,107.08333333333337,3,4,2106,1222
ventilation_hours,ventilation,2106,51.72594175371953,28.70148781259892,23.024453941120612,21.875,13.958333333333332,7.916666666666668,3,4,2106,1222
