metric,category,n_pairs,transfused_mean,control_mean,diff_mean,transfused_median,control_median,diff_median,cluster,k,n_transfused,n_control
mortality_anytime,mortality,5348,0.31731488406881075,0.44502617801047123,-0.12771129394166048,0.0,0.0,0.0,0,4,5348,2098
vm_time_hours,ventilation,5348,91.38449973565953,58.55798330919372,32.82651642646581,49.0,39.0,10.0,0,4,5348,2098
rrt_on,dialysis_rrt,5348,0.08732236350037398,0.0656320119670905,0.021690351533283483,0.0,0.0,0.0,0,4,5348,2098
any_vasopressor,vasopressor,5348,0.681376215407629,0.5676888556469708,0.11368735976065825,1.0,1.0,0.0,0,4,5348,2098
icu_los_hours,icu_los,5348,600.7338413113936,415.965547868362,184.76829344303155,353.125,291.25,61.875,0,4,5348,2098
ventilation_hours,ventilation,5348,53.86367177761156,32.566161805036145,21.297509972575412,20.666666666666664,17.75,2.9166666666666643,0,4,5348,2098
nee_mcgkgmin_max,vasopressor,5348,0.27098541510845175,0.1969801795063575,0.07400523560209427,0.1,0.05,0.05,0,4,5348,2098
sofa_delta,sofa_delta,5348,1.448026233893124,1.1113144526570145,0.33671178123610956,1.1421427962610449,0.7615297811794719,0.38061301508157297,0,4,5348,2098
mortality_anytime,mortality,121,0.35537190082644626,0.47107438016528924,-0.11570247933884298,0.0,0.0,0.0,1,4,121,110
vm_time_hours,ventilation,121,60.983333333333334,49.74324324324324,11.240090090090092,31.425,26.0,5.425000000000001,1,4,121,110
rrt_on,dialysis_rrt,121,0.06611570247933884,0.06611570247933884,0.0,0.0,0.0,0.0,1,4,121,110
any_vasopressor,vasopressor,121,0.4132231404958678,0.5867768595041323,-0.1735537190082645,0.0,1.0,-1.0,1,4,121,110
icu_los_hours,icu_los,121,430.27892561983464,385.1308539944904,45.148071625344244,258.75,236.66666666666666,22.083333333333343,1,4,121,110
ventilation_hours,ventilation,121,30.5530303030303,30.424242424242422,0.1287878787878789,15.916666666666666,9.25,6.666666666666666,1,4,121,110
nee_mcgkgmin_max,vasopressor,121,0.11760330578512397,0.1587603305785124,-0.04115702479338844,0.0,0.05,-0.05,1,4,121,110
sofa_delta,sofa_delta,121,2.211994652113702,1.3365899473346616,0.8754047047790403,1.7865612648221343,0.7428196559932478,1.0437416088288864,1,4,121,110
mortality_anytime,mortality,4530,0.4642384105960265,0.44613686534216335,0.01810154525386315,0.0,0.0,0.0,2,4,4530,1715
vm_time_hours,ventilation,4530,143.6269411062814,59.99340058337384,83.63354052290757,75.0,41.45,33.55,2,4,4530,1715
rrt_on,dialysis_rrt,4530,0.12339955849889625,0.06335540838852097,0.06004415011037528,0.0,0.0,0.0,2,4,4530,1715
any_vasopressor,vasopressor,4530,0.4794701986754967,0.5975717439293599,-0.11810154525386318,0.0,1.0,-1.0,2,4,4530,1715
icu_los_hours,icu_los,4530,897.2867917586459,428.6581125827814,468.6286791758645,484.375,317.0833333333333,167.29166666666669,2,4,4530,1715
ventilation_hours,ventilation,4530,77.50507726269315,33.28401398086828,44.22106328182487,30.875,18.083333333333332,12.791666666666668,2,4,4530,1715
nee_mcgkgmin_max,vasopressor,4530,0.2627991169977925,0.20545253863134658,0.05734657836644594,0.0,0.07,-0.07,2,4,4530,1715
sofa_delta,sofa_delta,4530,0.7535766060362602,1.063338250345544,-0.30976164430928377,0.5106382978723404,0.7613450669811671,-0.2507067691088267,2,4,4530,1715
mortality_anytime,mortality,10,0.6,0.3,0.3,1.0,0.0,1.0,3,4,10,10
vm_time_hours,ventilation,10,71.14444444444445,87.02666666666667,-15.882222222222225,57.35,66.84166666666667,-9.491666666666667,3,4,10,10
rrt_on,dialysis_rrt,10,0.2,0.0,0.2,0.0,0.0,0.0,3,4,10,10
any_vasopressor,vasopressor,10,0.3,0.6,-0.3,0.0,1.0,-1.0,3,4,10,10
icu_los_hours,icu_los,10,539.0416666666666,523.6249999999999,15.416666666666742,480.83333333333326,376.04166666666663,104.79166666666663,3,4,10,10
ventilation_hours,ventilation,10,52.80833333333332,51.85,0.9583333333333215,34.166666666666664,40.166666666666664,-6.0,3,4,10,10
nee_mcgkgmin_max,vasopressor,10,0.11000000000000001,0.14699999999999996,-0.03699999999999995,0.0,0.05,-0.05,3,4,10,10
sofa_delta,sofa_delta,10,0.26390944517072834,1.2023933528359938,-0.9384839076652655,0.48969853347473213,1.3194254434916601,-0.829726910016928,3,4,10,10
