feature,stat,value,cluster,k,n_transfused,n_control
age_max,mean,67.47845953002611,0,2,7660,2968
age_max,median,69.0,0,2,7660,2968
age_max,missing_rate,0.0,0,2,7660,2968
age_mean,mean,67.47845953002611,0,2,7660,2968
age_mean,median,69.0,0,2,7660,2968
age_mean,missing_rate,0.0,0,2,7660,2968
age_median,mean,67.47845953002611,0,2,7660,2968
age_median,median,69.0,0,2,7660,2968
age_median,missing_rate,0.0,0,2,7660,2968
age_min,mean,67.47845953002611,0,2,7660,2968
age_min,median,69.0,0,2,7660,2968
age_min,missing_rate,0.0,0,2,7660,2968
age_std,mean,0.0,0,2,7660,2968
age_std,median,0.0,0,2,7660,2968
age_std,missing_rate,0.0,0,2,7660,2968
aids_max,mean,0.0045691906005221935,0,2,7660,2968
aids_max,median,0.0,0,2,7660,2968
aids_max,missing_rate,0.0,0,2,7660,2968
aids_mean,mean,0.0045691906005221935,0,2,7660,2968
aids_mean,median,0.0,0,2,7660,2968
aids_mean,missing_rate,0.0,0,2,7660,2968
aids_median,mean,0.0045691906005221935,0,2,7660,2968
aids_median,median,0.0,0,2,7660,2968
aids_median,missing_rate,0.0,0,2,7660,2968
aids_min,mean,0.0045691906005221935,0,2,7660,2968
aids_min,median,0.0,0,2,7660,2968
aids_min,missing_rate,0.0,0,2,7660,2968
aids_std,mean,0.0,0,2,7660,2968
aids_std,median,0.0,0,2,7660,2968
aids_std,missing_rate,0.0,0,2,7660,2968
albumin_max,mean,,0,2,7660,2968
albumin_max,median,,0,2,7660,2968
albumin_max,missing_rate,1.0,0,2,7660,2968
albumin_mean,mean,,0,2,7660,2968
albumin_mean,median,,0,2,7660,2968
albumin_mean,missing_rate,1.0,0,2,7660,2968
albumin_median,mean,,0,2,7660,2968
albumin_median,median,,0,2,7660,2968
albumin_median,missing_rate,1.0,0,2,7660,2968
albumin_min,mean,,0,2,7660,2968
albumin_min,median,,0,2,7660,2968
albumin_min,missing_rate,1.0,0,2,7660,2968
albumin_std,mean,,0,2,7660,2968
albumin_std,median,,0,2,7660,2968
albumin_std,missing_rate,1.0,0,2,7660,2968
alkaline_phosphatase_max,mean,85.59086161879895,0,2,7660,2968
alkaline_phosphatase_max,median,75.0,0,2,7660,2968
