Grupo,rule_text,n,treated,controls,aipw_ate
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 97.5,95,32,63,-0.29265354270545035
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 102.375,230,73,157,-0.06723847579206274
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND spo2_last <= 97.5,112,34,78,-0.2556261987106939
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND spo2_last <= 102.375,261,79,182,-0.12809315515378453
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 97.5,141,36,105,-0.1835930520952588
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 102.375,314,83,231,-0.060399943180048654
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 97.5,108,38,70,-0.33182924327152946
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 102.375,248,81,167,-0.0792691009910011
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND spo2_last <= 97.5,126,40,86,-0.2940054326623686
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND spo2_last <= 102.375,280,87,193,-0.13573314161530325
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 97.5,155,42,113,-0.22129787487285307
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 102.375,335,91,244,-0.06933577877779486
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 97.5,113,39,74,-0.3004778060913926
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 102.375,259,85,174,-0.05789651215351484
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND spo2_last <= 97.5,131,41,90,-0.26840548343863074
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND spo2_last <= 102.375,291,91,200,-0.11457642355421645
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 97.5,161,43,118,-0.19562786609735205
B1,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 102.375,349,95,254,-0.051791605095609455
B1,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 97.5,118,36,82,-0.29220989118149376
