n,n_treated,n_control,treated_mean,control_mean,unadjusted_diff,aipw_ate,aipw_att,overlap_weighted_diff,iptw_diff,split,aipw_ate_ci95_low,aipw_ate_ci95_high,model_y0_mean,model_y1_mean,model_ite_mean,model_ite_median,prop_model_benefit,prop_model_harm,ps_min,ps_median,ps_mean,ps_max,ps_low_clip_fraction,ps_high_clip_fraction,ess_overlap_treated,ess_overlap_control,ess_iptw_treated,ess_iptw_control,treated_fraction,group_id,direction,role,name,description_pt,rule_text,balance_feature_count,max_abs_smd_unweighted,max_abs_smd_overlap,max_abs_smd_iptw,median_abs_smd_overlap,n_smd_overlap_gt_0_1,top_residual_smd_overlap
151,46,105,0.21739130434782608,0.47619047619047616,-0.2587991718426501,-0.3092053631194355,-0.22274756429920187,-0.23645194060492447,-0.2757852805614728,all,-0.536771787409758,-0.10559556614489575,0.4177524270374397,0.4100951579755908,-0.007657269061848867,-0.0524167950848565,0.5629139072847682,0.4370860927152318,0.05,0.27116683887168996,0.31663961324773754,0.8688723097534319,0.25165562913907286,0.0,38.939782269371236,56.69669251222617,23.00996714536038,81.70565552987573,0.304635761589404,B1,benefit,primary,Stable HR + falling hemoglobin + non-high final SpO2,"Frequencia cardiaca estavel/controlada, hemoglobina em queda e SpO2 final nao alta.",heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND spo2_last <= 97.5,101.0,0.6958348175036311,0.42595517282688034,0.4666578737362034,0.12758125691228675,62.0,ventilation_on_std:-0.426; mbp_delta:0.417; ventilation_on_max:-0.412; any_vasopressor_delta:0.392; lactate_delta:-0.385
106,33,73,0.2727272727272727,0.4520547945205479,-0.1793275217932752,-0.27444939595460605,-0.1121502669139417,-0.13399813352976653,-0.20914845553312142,discovery,-0.5892060650850346,-0.007283425379857156,0.43833477348120253,0.4355210791568882,-0.0028136943243143565,-0.059127646498230046,0.5566037735849056,0.44339622641509435,0.05,0.2565523504684956,0.3228761036191546,0.8688723097534319,0.24528301886792453,0.0,27.432234581004845,38.56584339657987,15.157636789494703,54.64130403619026,0.3113207547169811,B1,benefit,primary,Stable HR + falling hemoglobin + non-high final SpO2,"Frequencia cardiaca estavel/controlada, hemoglobina em queda e SpO2 final nao alta.",heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND spo2_last <= 97.5,,,,,,,
45,13,32,0.07692307692307693,0.53125,-0.4543269230769231,-0.3910749746632557,-0.5034945499694774,-0.48238874753835104,-0.45567089479370054,validation,-0.5961535532422176,-0.18550864133041073,0.3692695665254651,0.3502029880818682,-0.01906657844359685,-0.051212787595937725,0.5777777777777777,0.4222222222222222,0.05,0.27505592980364446,0.3019492137061773,0.7769930989016457,0.26666666666666666,0.0,11.509014343484472,18.32193655866682,10.473759381618368,28.211878364444836,0.28888888888888886,B1,benefit,primary,Stable HR + falling hemoglobin + non-high final SpO2,"Frequencia cardiaca estavel/controlada, hemoglobina em queda e SpO2 final nao alta.",heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND spo2_last <= 97.5,,,,,,,
1333,460,873,0.46304347826086956,0.44788087056128295,0.015162607699586605,0.07917607453889455,0.09197913625062537,0.04703183835252067,0.05324353974617013,complement,0.004119389451949587,0.15361627229398042,0.4410615774415964,0.48216418458912963,0.04110260714753335,0.015346021480558858,0.47561890472618157,0.5243810952738185,0.05,0.2858915201280984,0.33592497653513415,0.9327253878219487,0.20705176294073518,0.0,377.96017701552097,453.9603586397603,230.5932390696809,602.2029189788502,0.34508627156789196,B1,benefit,primary,Stable HR + falling hemoglobin + non-high final SpO2,"Frequencia cardiaca estavel/controlada, hemoglobina em queda e SpO2 final nao alta.",heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND spo2_last <= 97.5,,,,,,,
117,35,82,0.2,0.4878048780487805,-0.28780487804878047,-0.34689080504804043,-0.32813693875233413,-0.2718045877646843,-0.29212579039839465,all,-0.5753245448752111,-0.14464710274596587,0.44903359933806364,0.4231986418594655,-0.025834957478598236,-0.05399856075316811,0.5641025641025641,0.4358974358974359,0.05,0.26821117690654817,0.3209106642275905,0.8429159242857123,0.24786324786324787,0.0,29.510760857244332,44.17525207684097,22.692974769644856,64.04343581593187,0.29914529914529914,B2,benefit,sensitivity,High-specificity benefit phenotype,Subgrupo B1 com pressao arterial media baixa/moderada.,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,101.0,0.7055576045931459,0.5897264711383241,0.6983532642850749,0.14996410157082052,62.0,lactate_slope:-0.590; lactate_delta:-0.537; spo2_std:0.527; spo2_min:-0.473; lactate_min:0.466
79,25,54,0.24,0.4444444444444444,-0.20444444444444443,-0.2982640101161993,-0.21209624209154643,-0.1734513883220344,-0.218100725867119,discovery,-0.6216532002120231,-0.025470715258079417,0.4759623900080085,0.44948153084781123,-0.026480859160197334,-0.0562910519563275,0.569620253164557,0.43037974683544306,0.05,0.23828637108833284,0.32760149456087734,0.8429159242857123,0.22784810126582278,0.0,20.87219512285599,28.65689031785246,15.529268646324475,40.43151659660389,0.31645569620253167,B2,benefit,sensitivity,High-specificity benefit phenotype,Subgrupo B1 com pressao arterial media baixa/moderada.,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,,,,,,,
38,10,28,0.1,0.5714285714285714,-0.4714285714285714,-0.4479833524063417,-0.6182386804043034,-0.4780057917457817,-0.4564153677529976,validation,-0.6885629320677477,-0.2183544533366529,0.39305006084002037,0.3685578989626412,-0.0244921618773791,-0.05260567417455292,0.5526315789473685,0.4473684210526316,0.05,0.2806390696985682,0.30700078011365245,0.7769930989016457,0.2894736842105263,0.0,8.644645171516505,15.602440352035208,7.695931914502116,24.467584579060105,0.2631578947368421,B2,benefit,sensitivity,High-specificity benefit phenotype,Subgrupo B1 com pressao arterial media baixa/moderada.,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,,,,,,,
1367,471,896,0.4585987261146497,0.44754464285714285,0.011054083257506842,0.07274171303579548,0.09246031332028892,0.042514718064401436,0.043679161092129604,complement,-0.0006881296876557497,0.14609750505422028,0.43780451213587984,0.4792501725048036,0.04144566036892374,0.014815219383061101,0.4776883686905633,0.5223116313094367,0.05,0.2846861408933435,0.3350797568449993,0.9327253878219487,0.20848573518653987,0.0,387.26117574609003,466.5376400058062,231.03492958223532,619.5733945685427,0.3445501097293343,B2,benefit,sensitivity,High-specificity benefit phenotype,Subgrupo B1 com pressao arterial media baixa/moderada.,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,,,,,,,
328,141,187,0.49645390070921985,0.3315508021390374,0.16490309857018243,0.24018396376289144,0.20306677561184167,0.17077035668162405,0.1992087979794564,all,0.10138708912604652,0.38263703139717287,0.37981552472095215,0.45057892596756677,0.07076340124661465,0.03469206880056796,0.4420731707317073,0.5579268292682927,0.05,0.4045073649822314,0.40033780647480305,0.9261713187717221,0.10670731707317073,0.0,119.06573146967776,110.02702594462133,75.1768626065831,118.30133797856277,0.4298780487804878,M1,harm,primary,Rising HR + high maximum MBP,Frequencia cardiaca em ascensao com pico de pressao arterial media elevado.,heart_rate_delta > 3.905 AND mbp_max > 93,101.0,0.5743856522396431,0.2794964516488202,0.2743605471521853,0.06520264274590874,28.0,mbp_min:-0.279; resp_rate_min:-0.234; lactate_delta:0.229; lactate_median:-0.218; any_vasopressor_last:0.217
235,99,136,0.46464646464646464,0.34558823529411764,0.119058229352347,0.188641996705962,0.1602032792343927,0.11408022245321547,0.13100997052533736,discovery,0.012141140594400315,0.36792723041437553,0.37933159628124086,0.441876618184965,0.06254502190372423,0.022168122305459184,0.46808510638297873,0.5319148936170213,0.05,0.41893177684813987,0.4095804753918015,0.9261713187717221,0.11914893617021277,0.0,82.95934716231402,79.95921958948277,49.36006280995936,88.89661276882627,0.42127659574468085,M1,harm,primary,Rising HR + high maximum MBP,Frequencia cardiaca em ascensao com pico de pressao arterial media elevado.,heart_rate_delta > 3.905 AND mbp_max > 93,,,,,,,
