run_id,label_type,group_id,legacy_k2_cluster,n_in_group_cluster,n_group,pct_group_in_cluster,pct_target_trial_in_cluster,article_mortality_diff,legacy_article_sign,fisher_or_cluster1_vs_cluster0,fisher_p_cluster1_vs_cluster0
run_cal03_replace_full_w48,final_rule,B1,0,9,151,0.059602649006622516,0.05727762803234501,-0.065772759350741,article_benefit,0.9539467868823478,0.8536385519198928
run_cal03_replace_full_w48,final_rule,B1,1,142,151,0.9403973509933775,0.942722371967655,-0.0499316005471955,article_benefit,0.9539467868823478,0.8536385519198928
run_cal03_replace_full_w48,final_rule,B2,0,8,117,0.06837606837606838,0.05727762803234501,-0.065772759350741,article_benefit,0.8132751937984496,0.5357889162692022
run_cal03_replace_full_w48,final_rule,B2,1,109,117,0.9316239316239316,0.942722371967655,-0.0499316005471955,article_benefit,0.8132751937984496,0.5357889162692022
run_cal03_replace_full_w48,final_rule,M1,0,23,328,0.0701219512195122,0.05727762803234501,-0.065772759350741,article_benefit,0.7515300850488832,0.2809140448870659
run_cal03_replace_full_w48,final_rule,M1,1,305,328,0.9298780487804879,0.942722371967655,-0.0499316005471955,article_benefit,0.7515300850488832,0.2809140448870659
run_cal03_replace_full_w48,final_rule,M2,0,8,109,0.07339449541284404,0.05727762803234501,-0.065772759350741,article_benefit,0.7489406779661016,0.3961881472497619
run_cal03_replace_full_w48,final_rule,M2,1,101,109,0.926605504587156,0.942722371967655,-0.0499316005471955,article_benefit,0.7489406779661016,0.3961881472497619
run_cal03_replace_full_w48,final_rule,M3,0,2,219,0.0091324200913242,0.05727762803234501,-0.065772759350741,article_benefit,7.618866328257191,0.00021086333497432626
run_cal03_replace_full_w48,final_rule,M3,1,217,219,0.9908675799086758,0.942722371967655,-0.0499316005471955,article_benefit,7.618866328257191,0.00021086333497432626
run_cal03_replace_full_w48,primary_label,benefit_primary,0,9,151,0.059602649006622516,0.05727762803234501,-0.065772759350741,article_benefit,0.9539467868823478,0.8536385519198928
run_cal03_replace_full_w48,primary_label,benefit_primary,1,142,151,0.9403973509933775,0.942722371967655,-0.0499316005471955,article_benefit,0.9539467868823478,0.8536385519198928
run_cal03_replace_full_w48,primary_label,harm_primary,0,23,328,0.0701219512195122,0.05727762803234501,-0.065772759350741,article_benefit,0.7515300850488832,0.2809140448870659
run_cal03_replace_full_w48,primary_label,harm_primary,1,305,328,0.9298780487804879,0.942722371967655,-0.0499316005471955,article_benefit,0.7515300850488832,0.2809140448870659
run_cal03_replace_full_w48,primary_label,neither_primary,0,53,1005,0.0527363184079602,0.05727762803234501,-0.065772759350741,article_benefit,1.2858891562196615,0.2835202770316316
run_cal03_replace_full_w48,primary_label,neither_primary,1,952,1005,0.9472636815920398,0.942722371967655,-0.0499316005471955,article_benefit,1.2858891562196615,0.2835202770316316
run_cal03_noreplace_w48,final_rule,B1,0,10,151,0.06622516556291391,0.06671159029649595,0.0123784261715296,article_harm,1.0087620578778136,1.0
run_cal03_noreplace_w48,final_rule,B1,1,141,151,0.9337748344370861,0.933288409703504,-0.0271493212669683,article_benefit,1.0087620578778136,1.0
run_cal03_noreplace_w48,final_rule,B2,0,8,117,0.06837606837606838,0.06671159029649595,0.0123784261715296,article_harm,0.9716888714733543,0.8483042560256926
run_cal03_noreplace_w48,final_rule,B2,1,109,117,0.9316239316239316,0.933288409703504,-0.0271493212669683,article_benefit,0.9716888714733543,0.8483042560256926
run_cal03_noreplace_w48,final_rule,M1,0,29,328,0.08841463414634146,0.06671159029649595,0.0123784261715296,article_harm,0.6645710294024259,0.07958492576946921
run_cal03_noreplace_w48,final_rule,M1,1,299,328,0.9115853658536586,0.933288409703504,-0.0271493212669683,article_benefit,0.6645710294024259,0.07958492576946921
run_cal03_noreplace_w48,final_rule,M2,0,8,109,0.07339449541284404,0.06671159029649595,0.0123784261715296,article_harm,0.89476246105919,0.6922416373285312
run_cal03_noreplace_w48,final_rule,M2,1,101,109,0.926605504587156,0.933288409703504,-0.0271493212669683,article_benefit,0.89476246105919,0.6922416373285312
run_cal03_noreplace_w48,final_rule,M3,0,2,219,0.0091324200913242,0.06671159029649595,0.0123784261715296,article_harm,9.010702054794521,2.5314637912369367e-05
run_cal03_noreplace_w48,final_rule,M3,1,217,219,0.9908675799086758,0.933288409703504,-0.0271493212669683,article_benefit,9.010702054794521,2.5314637912369367e-05
run_cal03_noreplace_w48,primary_label,benefit_primary,0,10,151,0.06622516556291391,0.06671159029649595,0.0123784261715296,article_harm,1.0087620578778136,1.0
run_cal03_noreplace_w48,primary_label,benefit_primary,1,141,151,0.9337748344370861,0.933288409703504,-0.0271493212669683,article_benefit,1.0087620578778136,1.0
run_cal03_noreplace_w48,primary_label,harm_primary,0,29,328,0.08841463414634146,0.06671159029649595,0.0123784261715296,article_harm,0.6645710294024259,0.07958492576946921
run_cal03_noreplace_w48,primary_label,harm_primary,1,299,328,0.9115853658536586,0.933288409703504,-0.0271493212669683,article_benefit,0.6645710294024259,0.07958492576946921
run_cal03_noreplace_w48,primary_label,neither_primary,0,60,1005,0.05970149253731343,0.06671159029649595,0.0123784261715296,article_harm,1.3960227272727272,0.1203768676207382
run_cal03_noreplace_w48,primary_label,neither_primary,1,945,1005,0.9402985074626866,0.933288409703504,-0.0271493212669683,article_benefit,1.3960227272727272,0.1203768676207382
