n,n_treated,n_control,treated_mean,control_mean,unadjusted_diff,aipw_ate,aipw_att,overlap_weighted_diff,iptw_diff,aipw_ate_ci95_low,aipw_ate_ci95_high,model_ite_mean,run_id,split,legacy_group_id,direction,name,rule_text,n_in_full_legacy_baseline
88,47,41,0.7021276595744681,0.6585365853658537,0.04359107420861441,0.10686543402187007,0.07506963761149732,0.004799035680021602,0.01924934653338428,-0.08555831165729762,0.30999802852041053,0.047854673216917526,run_cal03_replace_full_w48,all,old_M1,harm,Falencia hepatobiliar com estresse metabolico,alkaline_phosphatase_max > 75 AND lactate_slope > 0.0002952,2384
55,29,26,0.6551724137931034,0.6538461538461539,0.0013262599469495706,0.08113191216095395,0.041648328899644316,-0.11040689858338071,-0.06380955315845571,-0.1789877721408483,0.37276459991131583,0.029167153188179334,run_cal03_replace_full_w48,discovery,old_M1,harm,Falencia hepatobiliar com estresse metabolico,alkaline_phosphatase_max > 75 AND lactate_slope > 0.0002952,2384
33,18,15,0.7777777777777778,0.6666666666666666,0.11111111111111116,0.14975463712339687,0.12891507942503788,0.16490529055100112,0.16723733955254216,-0.09343028852113891,0.3895792496284532,0.07900053993148116,run_cal03_replace_full_w48,validation,old_M1,harm,Falencia hepatobiliar com estresse metabolico,alkaline_phosphatase_max > 75 AND lactate_slope > 0.0002952,2384
294,88,206,0.7613636363636364,0.7038834951456311,0.057480141218005265,0.05778886118880516,0.05070186596246973,0.07784025890494894,0.0651856924401939,-0.1428276259348018,0.2674219670971849,0.042482379685463686,run_cal03_replace_full_w48,all,old_M2,harm,Doenca critica sustentada hepatobiliar-renal,alkaline_phosphatase_mean > 75 AND sapsii_min > 43,2516
214,60,154,0.75,0.6818181818181818,0.06818181818181823,0.14037792110803568,0.0664115560131282,0.08878883046393038,0.11647351893400681,-0.07041433906944412,0.38373655897944775,0.05499538186469849,run_cal03_replace_full_w48,discovery,old_M2,harm,Doenca critica sustentada hepatobiliar-renal,alkaline_phosphatase_mean > 75 AND sapsii_min > 43,2516
80,28,52,0.7857142857142857,0.7692307692307693,0.016483516483516425,-0.16313687409513639,0.01703824442534463,0.03658609949513847,-0.06444394061229264,-0.6359852810908047,0.20572552908747904,0.009010098856010588,run_cal03_replace_full_w48,validation,old_M2,harm,Doenca critica sustentada hepatobiliar-renal,alkaline_phosphatase_mean > 75 AND sapsii_min > 43,2516
219,60,159,0.7166666666666667,0.660377358490566,0.05628930817610067,-0.029746166989829542,0.1502296711729324,0.09220069760126781,0.05066304849032899,-0.22800547191629578,0.14418021305116072,0.014797071079171836,run_cal03_replace_full_w48,all,old_M3,harm,Baixo fluxo cardiorrenal com hipotensao diastolica,creatinine_max > 1.6 AND dbp_median <= 52,1550
158,43,115,0.7441860465116279,0.6347826086956522,0.10940343781597572,0.06863882057388375,0.23818188565571485,0.19419175035443415,0.1327382775446312,-0.10343735846857964,0.22594516323951117,0.021877788116757283,run_cal03_replace_full_w48,discovery,old_M3,harm,Baixo fluxo cardiorrenal com hipotensao diastolica,creatinine_max > 1.6 AND dbp_median <= 52,1550
61,17,44,0.6470588235294118,0.7272727272727273,-0.0802139037433155,-0.28457941346633275,-0.07223769487175236,-0.15737499982456649,-0.10277163202234274,-0.8957057179813775,0.16038278774470538,-0.0035431468214593173,run_cal03_replace_full_w48,validation,old_M3,harm,Baixo fluxo cardiorrenal com hipotensao diastolica,creatinine_max > 1.6 AND dbp_median <= 52,1550
86,50,36,0.74,0.7777777777777778,-0.0377777777777778,0.09895043859647557,0.07576004916118828,0.030471033092768995,0.0637644719532523,-0.08896817151376817,0.2970921449810494,0.042424550444116804,run_cal03_replace_full_w48,all,old_M4,harm,Falencia progressiva renal e hipoperfusao metabolica,creatinine_max > 1.6 AND lactate_slope > 0.0002952,2131
53,32,21,0.6875,0.7619047619047619,-0.07440476190476186,0.07451338923475744,0.07978175089587247,0.06930583577180427,0.1003731376589686,-0.16537848676522598,0.36051190132495115,0.05349991540807084,run_cal03_replace_full_w48,discovery,old_M4,harm,Falencia progressiva renal e hipoperfusao metabolica,creatinine_max > 1.6 AND lactate_slope > 0.0002952,2131
33,18,15,0.8333333333333334,0.8,0.033333333333333326,0.1381978209046896,0.06861035718841635,0.037663501769668706,0.04029543399297508,-0.1385409868916012,0.46013097473165576,0.024636843077766417,run_cal03_replace_full_w48,validation,old_M4,harm,Falencia progressiva renal e hipoperfusao metabolica,creatinine_max > 1.6 AND lactate_slope > 0.0002952,2131
