group,n,treated,controls,observed_mortality,mean_p_mortality_do_transfuse,mean_p_mortality_do_no_transfuse,mean_p_survival_do_transfuse,mean_p_survival_do_no_transfuse,vcip_ate_mortality,vcip_ate_ci_low,vcip_ate_ci_high,mean_target_advantage_survival,fraction_recommend_transfusion,median_uncertainty_a0,median_uncertainty_a1,stratum_type,interpretation,parent_group
all,1484,506,978,0.4474393530997305,0.4678986072540283,0.4453067481517792,0.5321013927459717,0.5546932816505432,0.02259192791468692,0.01641907003253819,0.02819358338758781,-0.02259192742266745,0.46226415094339623,0.028553808107972145,0.03861731290817261,split,,
discovery,1023,348,675,0.44574780058651026,0.46810659766197205,0.4457915723323822,0.5318934321403503,0.5542083978652954,0.02231503043866344,0.01484408434407598,0.02884483805312279,-0.022315030515135673,0.45454545454545453,0.028551174327731133,0.0389617420732975,split,,
validation,461,158,303,0.4511930585683297,0.46743714809417725,0.44423073530197144,0.5325628519058228,0.5557692646980286,0.023206388040439684,0.013221966953637025,0.03422063974039366,-0.02320638628688655,0.4793926247288503,0.028612736612558365,0.03744084760546684,split,,
B1,151,46,105,0.3973509933774834,0.25874975323677063,0.35166221857070923,0.741250216960907,0.6483377814292908,-0.09291244090984989,-0.10887662499082207,-0.07715911339869759,0.09291244026840917,0.8344370860927153,0.029779622331261635,0.02755504660308361,final_group,beneficio: anemia dinamica compensada,
B1_discovery,106,33,73,0.39622641509433965,0.2653513550758362,0.36311131715774536,0.7346487045288086,0.6368886828422546,-0.09775996236306317,-0.11673162834507958,-0.0785570995372562,0.09775996039498527,0.839622641509434,0.030622486025094986,0.02901333197951317,final_group_split,,B1
B1_validation,45,13,32,0.4,0.24319936335086823,0.3246932029724121,0.7568005919456482,0.6753067374229431,-0.0814938348200586,-0.10548315390944481,-0.055976887949638905,0.08149383730358548,0.8222222222222222,0.026706451550126076,0.027060937136411667,final_group_split,,B1
B2,117,35,82,0.4017094017094017,0.2402777075767517,0.3553159236907959,0.7597223520278931,0.6446840167045593,-0.11503823700114194,-0.13019954808311077,-0.09881249432348543,0.11503823598225911,0.8803418803418803,0.030714569613337517,0.02876274101436138,final_group,beneficio: B1 com PAM baixa/moderada,
B2_discovery,79,25,54,0.379746835443038,0.24090513586997986,0.3660767674446106,0.7590948343276978,0.6339232325553894,-0.12517167014788977,-0.14534273513274482,-0.10403537247565728,0.12517166741286653,0.8987341772151899,0.03145536780357361,0.03326096013188362,final_group_split,,B2
B2_validation,38,10,28,0.4473684210526316,0.23897333443164825,0.3329446613788605,0.7610267400741577,0.6670552492141724,-0.09397136282763983,-0.11884631132216829,-0.0653393487691095,0.09397136537652266,0.8421052631578947,0.027723148465156555,0.026653096079826355,final_group_split,,B2
M1,328,141,187,0.4024390243902439,0.4766496419906616,0.408555805683136,0.5233503580093384,0.591444194316864,0.06809382471710262,0.0557092635545925,0.07988001405085414,-0.06809382431390809,0.3567073170731707,0.028198642656207085,0.038862649351358414,final_group,maleficio: estresse hemodinamico,
M1_discovery,235,99,136,0.39574468085106385,0.4743157923221588,0.4053211510181427,0.5256842374801636,0.5946787595748901,0.06899461270646846,0.054595731533667514,0.08430917105776196,-0.06899461391124319,0.34893617021276596,0.02877258136868477,0.040128085762262344,final_group_split,,M1
M1_validation,93,42,51,0.41935483870967744,0.4825470745563507,0.4167294204235077,0.5174529552459717,0.5832705497741699,0.06581764001279108,0.04529667564978202,0.08670913183520879,-0.06581763554644841,0.3763440860215054,0.026273349300026894,0.03688623756170273,final_group_split,,M1
M2,109,52,57,0.5688073394495413,0.659725546836853,0.5163416266441345,0.3402744233608246,0.4836583733558655,0.14338393133441243,0.12606475548733265,0.1612582939377892,-0.14338393167618219,0.09174311926605505,0.02742503397166729,0.03931206837296486,final_group,maleficio: estresse hemodinamico cardiorrenal,
M2_discovery,78,34,44,0.5256410256410257,0.6646867394447327,0.51826411485672,0.33531326055526733,0.48173585534095764,0.14642260691676384,0.12479181379223099,0.16819642565619103,-0.14642260777644622,0.0641025641025641,0.02854352444410324,0.0397200770676136,final_group_split,,M2
M2_validation,31,18,13,0.6774193548387096,0.6472426652908325,0.5115044713020325,0.35275736451148987,0.4884955585002899,0.13573823148204434,0.10336499005075424,0.16673935181911914,-0.1357382305206791,0.16129032258064516,0.02583600953221321,0.03919363394379616,final_group_split,,M2
M3,219,37,182,0.4977168949771689,0.5797425508499146,0.5043105483055115,0.42025741934776306,0.49568942189216614,0.07543198675019284,0.06368359695784068,0.0878166925944558,-0.07543198594219608,0.2511415525114155,0.027764026075601578,0.039241522550582886,final_group,maleficio: ausencia de queda relevante de Hb,
M3_discovery,147,21,126,0.4897959183673469,0.5724791288375854,0.49590057134628296,0.42752090096473694,0.504099428653717,0.0765785241917688,0.06101188899657759,0.09094787201761793,-0.07657852383697925,0.23809523809523808,0.02692127414047718,0.04052720591425896,final_group_split,,M3
M3_validation,72,16,56,0.5138888888888888,0.5945721864700317,0.5214810371398926,0.40542781352996826,0.4785190224647522,0.07309113947364192,0.05181854137206554,0.09342228542664088,-0.07309113774034712,0.2777777777777778,0.02864093892276287,0.036419034004211426,final_group_split,,M3
